Gene,Locus,Molecule D23580,Start,End,Strand,Product,Input 1 (for Macrophage) read counts,Input 2 (for MAcropahge) read counts,Macrophage 1 (output) read counts,Macrophage 2 (output) read counts,Log2 fold-change output (MAcrophage) vs. input,p-value
sfbC,STMMW_05821,D23580,613494,614153,+,ABC transporter integral membrane protein,512,255,417,291,0.107276164800365,0.863967741188782
ybbB,STMMW_05831,D23580,614192,615286,-,hypothetical ATP-binding protein,735,405,544,364,-0.126987966496579,0.769207536657278
ybbS,STMMW_05841,D23580,615356,616282,-,hypothetical lysR-family transcriptional regulator,636,315,602,385,0.268344306143072,0.3812554029446
allA,STMMW_05851,D23580,616509,616991,+,ureidoglycolate hydrolase,206,133,191,124,0.0644445186702982,0.962095116716363
allR,STMMW_05861,D23580,617070,617888,+,negative regulator of allantoin and glyoxylate utilization operons,496,269,314,229,-0.281915052015782,0.464314837476789
gcl,STMMW_05871,D23580,617973,619754,+,glyoxylate carboligase,1778,1010,1409,993,-0.0139239704549958,0.980055856644447
gip,STMMW_05881,D23580,619767,620543,+,glyoxylate-induced protein,847,486,601,418,-0.189533311763763,0.540081460157541
garRa,STMMW_05891,D23580,620644,621522,+,2-hydroxy-3-oxopropionate reductase,1453,720,959,644,-0.218532453597411,0.302681737514915
STMMW_05901,STMMW_05901,D23580,621579,622835,+,putative permease,1878,1151,1035,806,-0.521484067578172,0.0000477
allP,STMMW_05911,D23580,622931,623965,+,,682,418,423,312,-0.389869344943651,0.123659895842388
ybbY,STMMW_05921,D23580,624189,625487,+,putative permease protein,1849,1140,1436,1096,-0.0450740488726523,0.912859940391529
glxK,STMMW_05931,D23580,625510,626658,+,glycerate kinase 1,914,492,774,491,0.0474078617212598,0.935519498818288
ylbA,STMMW_05941,D23580,626738,627523,-,putative glyoxylate utilization,1577,943,1233,996,0.0288709499705639,0.953791402027558
allC,STMMW_05951,D23580,627534,628769,-,allantoate amidohydrolase,1048,555,917,556,0.0760154765873191,0.872135370258401
allD,STMMW_05961,D23580,628791,629840,-,ureidoglycolate dehydrogenase,1247,672,906,525,-0.232739515213469,0.337164398687726
fdrA,STMMW_05971,D23580,630171,631835,+,"putative acyl-CoA synthetase, involved in protein transport",1092,516,804,572,0.00946597769989078,0.990976228648781
ylbE,STMMW_05981,D23580,631845,633104,+,conserved hypothetical protein,1025,508,815,583,0.0932829632427438,0.822424966799464
ylbF,STMMW_05991,D23580,633116,633925,+,conserved hypothetical protein,918,435,773,564,0.218837662291376,0.423347359289943
arcC,STMMW_06001,D23580,633929,634822,+,carbamate kinase,889,465,741,526,0.120294059696934,0.749904229896649
purK,STMMW_06011,D23580,634863,635930,-,phosphoribosylaminoimidazole carboxylase ATPase subunit,721,366,397,212,-0.641497616505035,0.00884434920097148
purE,STMMW_06021,D23580,635927,636436,-,phosphoribosylaminoimidazole carboxylase catalytic subunit,254,117,7,4,-4.84156483424703,1.05E-15
lpxH,STMMW_06031,D23580,636554,637276,-,conserved hypothetical protein,11,6,4,3,-1.06618748029164,0.794903965873429
ppiB,STMMW_06041,D23580,637279,637773,-,peptidyl-prolyl cis-trans isomerase B,4,2,0,1,-2.23217793349558,NA
cysS,STMMW_06051,D23580,637946,639331,+,cysteinyl-tRNA synthetase,1390,699,1065,759,0.0277842888722119,0.961263851325046
STMMW_06061,STMMW_06061,D23580,639375,640199,-,putative exported outer membrane protein,724,359,565,365,-0.00372912562314987,0.99720355301793
STMMW_06071,STMMW_06071,D23580,640196,640633,-,putative exported protein,507,315,447,312,0.0693333227768346,0.923494595869386
ybcI,STMMW_06081,D23580,640626,641171,-,putative membrane protein,431,242,435,286,0.295530482280882,0.403500147894441
ybcJ,STMMW_06091,D23580,641299,641511,-,conserved hypothetical protein,249,112,220,127,0.163867527306805,0.862897475976879
folD,STMMW_06101,D23580,641513,642379,-,FolD bifunctional protein [includes: methylenetetrahydrofolate dehydrogenase,19,10,7,3,-1.36234057585949,0.610038429013165
fimA,STMMW_06111,D23580,642926,643483,+,"type-1 fimbrial protein, a chain precursor",1060,548,831,614,0.0680596125199094,0.888015402372921
fimI,STMMW_06121,D23580,643559,644092,+,major pilin protein,632,348,439,291,-0.224354746416358,0.534323326425127
fimC,STMMW_06131,D23580,644136,644828,+,fimbrial chaperone protein,982,565,752,534,-0.0669819183441354,0.892010633340632
fimD,STMMW_06141,D23580,644859,647471,+,outer membrane usher protein FimD precursor,2662,1540,2385,1545,0.0923444378626113,0.650236681348167
fimH,STMMW_06151,D23580,647486,648493,+,FimH protein precursor,963,498,809,515,0.0651166278132656,0.903485879758008
fimF,STMMW_06161,D23580,648503,649021,+,putative fimbrial protein,512,253,444,262,0.0915867685158431,0.902143445834205
fimZ,STMMW_06171,D23580,649067,649699,-,probable transcriptional regulator (FimXZ protein),390,231,232,216,-0.249415530664832,0.641188092275144
fimY,STMMW_06181,D23580,650303,651025,-,fimbriae Y protein,1914,1114,1236,1063,-0.180059255869236,0.386956190045801
STMMW_06191,STMMW_06191,D23580,651044,651355,-,hypothetical protein,306,171,148,119,-0.620540387818009,0.110120003334816
fimW,STMMW_06201,D23580,651517,652113,-,fimbriae w protein,616,382,399,269,-0.398346021465626,0.14102196587345
STMMW_06211,STMMW_06211,D23580,652585,652875,-,,373,231,348,204,0.0372613776140634,0.975713670315127
STMMW_06221,STMMW_06221,D23580,653010,653228,-,transposase,600,452,515,464,0.0705073406835342,0.924479175495423
STMMW_06231,STMMW_06231,D23580,653615,655267,-,,473,325,347,303,-0.107661870261159,0.880938287801298
gtrBa,STMMW_06241,D23580,655248,656174,-,bactoprenol glucosyl transferase,1274,797,958,682,-0.152059939850594,0.569386502688493
gtrAa,STMMW_06251,D23580,656171,656533,-,bactoprenol-linked glucose translocase,846,568,713,576,0.0511762019425219,0.933266786932614
STMMW_06261,STMMW_06261,D23580,657401,657730,-,,744,419,485,381,-0.212003760928464,0.522900092351415
cusA,STMMW_06271,D23580,657779,658018,+,,112,44,122,82,0.643068557384396,0.348769865391852
ykgD,STMMW_06281,D23580,658069,658923,-,hypothetical araC-family transcriptional regulator,934,557,860,519,0.0637133435071493,0.908263919123727
ykgC,STMMW_06291,D23580,659139,660464,+,probable pyridine nucleotide-disulfide oxidoreductase,1552,784,1288,772,0.0237886758145745,0.971189843271751
STMMW_06301,STMMW_06301,D23580,660621,660857,+,hypothetical secreted protein,192,98,55,47,-1.26979913307603,0.00641745836436869
ykgB,STMMW_06311,D23580,660870,661430,+,putative membrane protein,1042,616,832,594,-0.0221218458297327,0.975897241270493
STMMW_06321,STMMW_06321,D23580,661509,662684,-,conserved hypothetical protein,634,348,557,403,0.177040002921715,0.635724953466699
pheP,STMMW_06331,D23580,663010,664404,+,phenylalanine-specific permease,1301,814,1081,826,0.0425987962409822,0.92829663789887
ybdG,STMMW_06341,D23580,664446,665693,-,putative membrane protein,2756,1560,2128,1488,-0.0544397834911391,0.83493803755904
apeE,STMMW_06351,D23580,666004,667974,+,outer membrane esterase,2174,1409,2018,1437,0.125184010817048,0.544057914460379
STMMW_06361,STMMW_06361,D23580,668141,670870,+,similar to lmo0785 protein (sigma 54-associated activator),2977,1634,2250,1643,-0.0334852252510523,0.916294586175967
STMMW_06371,STMMW_06371,D23580,670998,671984,-,similar to a putative phospohtase isomerase,1208,678,932,620,-0.0837947227488588,0.826479465309626
STMMW_06381,STMMW_06381,D23580,672051,673094,-,Putative GTP Binding protein,884,481,681,491,-0.00903494790963378,0.991550050346495
STMMW_06391,STMMW_06391,D23580,673127,673981,-,putative mannose specific permease,637,301,488,351,0.0740764540876448,0.913190593133334
STMMW_06401,STMMW_06401,D23580,673984,674658,-,putative mannose specific permease,496,312,439,303,0.058062363197154,0.939440328221464
STMMW_06411,STMMW_06411,D23580,674742,675212,-,putative mannose specific permease,284,148,242,151,0.0673608553164916,0.9507646572299
STMMW_06421,STMMW_06421,D23580,675190,675639,-,putative protein,254,131,208,152,0.124506645590272,0.89508536600112
nfnB,STMMW_06431,D23580,675839,676492,-,oxygen-insensitive NAD(P)H nitroreductase,632,328,564,377,0.182479891212621,0.633401747754213
ybdF,STMMW_06441,D23580,676589,676957,-,conserved hypothetical protein,489,263,419,305,0.159085132729607,0.747722806407174
ramR,STMMW_06451,D23580,676957,677538,-,putative TetR-family transcriptional regulator,459,222,540,360,0.624510843339892,0.00641745836436869
ramA,STMMW_06461,D23580,677827,678168,+,transcriptional activator RamA,379,164,275,181,-0.0107891230673074,0.995699311934211
ybdJ,STMMW_06472,D23580,678174,678422,-,putative membrane protein,308,277,293,236,-0.0165965552080858,0.990976228648781
ybdK,STMMW_06481,D23580,678489,679607,-,conserved hypothetical protein,918,504,775,434,-0.0505724864447637,0.937546105198392
entD,STMMW_06491,D23580,679619,680323,-,enterobactin synthetase component D,435,251,401,295,0.223723286969701,0.604225100168675
fepA,STMMW_06501,D23580,680369,682624,-,ferrienterobactin receptor precursor,2445,1419,1960,1313,-0.0475205443142607,0.880890908614421
fes,STMMW_06511,D23580,682813,684027,+,enterochelin esterase,811,518,625,524,-0.0122462230142224,0.989090437738042
ybdZ,STMMW_06521,D23580,684058,684276,+,conserved hypothetical protein,123,67,105,73,0.112903246550182,0.942657690305258
entF,STMMW_06531,D23580,684273,688157,+,enterobactin synthetase component F,1592,859,1253,952,0.0651639957683599,0.852698952656079
fepE,STMMW_06541,D23580,688407,689543,+,ferric enterobactin transport protein,1640,917,1406,993,0.112060333637476,0.640308663416742
fepC,STMMW_06551,D23580,689596,690390,-,ferric enterobactin transport ATP-binding protein FepC,7,3,3,3,-0.454257207906309,NA
fepG,STMMW_06561,D23580,690387,691376,-,ferric enterobactin transport protein FepG,74,71,116,86,0.592725480916929,0.437740818263715
fepD,STMMW_06571,D23580,691376,692383,-,ferric enterobactin transport protein FepD,22,18,28,13,0.131771572684681,0.976320209100393
ybdA,STMMW_06581,D23580,692494,693738,+,hypothetical membrane protein p43,1103,499,805,647,0.113306223333557,0.779712928077618
fepB,STMMW_06591,D23580,693801,694757,-,ferrienterobactin-binding periplasmic protein precursor,23,20,15,21,-0.0629787766772914,0.989090437738042
entC,STMMW_06601,D23580,695066,696241,+,isochorismate synthase EntC,672,318,597,385,0.211799168527192,0.560193992501379
entE,STMMW_06611,D23580,696251,697861,+,"2,3-dihydroxybenzoate-AMP ligase",1022,496,824,614,0.156027410814091,0.619463459375028
entB,STMMW_06621,D23580,697875,698732,+,isochorismatase,659,361,566,384,0.1010284384765,0.842018896510104
entA,STMMW_06631,D23580,698732,699487,+,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",459,259,321,262,-0.0834514792169724,0.916279940090801
ybdB,STMMW_06641,D23580,699490,699903,+,conserved hypothetical protein,476,282,382,317,0.0935089721034564,0.892797717153349
cstAa,STMMW_06651,D23580,700085,702190,+,carbon starvation protein A,2154,1133,1889,1244,0.138354048799762,0.451249537059282
ybdD,STMMW_06661,D23580,702254,702451,+,conserved hypothetical protein,118,51,60,77,0.00779113073095567,0.99720355301793
ybdH,STMMW_06671,D23580,702487,703575,-,putative oxidoreductase,1329,649,1062,756,0.10677734143598,0.744557720807602
ybdL,STMMW_06681,D23580,703702,704862,+,putative aminotransferase,668,327,598,375,0.182671361260727,0.642399361815541
ybdM,STMMW_06691,D23580,704863,705480,-,conserved hypothetical protein,534,299,496,313,0.150297937926638,0.75452505323042
ybdN,STMMW_06701,D23580,705453,706688,-,conserved hypothetical protein,1539,915,1205,940,0.0091348764033246,0.989090437738042
ybdO,STMMW_06711,D23580,706854,707756,-,putative LysR-family transcriptional regulator,483,307,309,209,-0.432232930018966,0.165175192069532
dsbG,STMMW_06721,D23580,708073,708819,-,thiol:disulfide interchange protein DsbG precursor,475,266,388,324,0.163418372769861,0.749904229896649
ahpC,STMMW_06731,D23580,709260,709823,+,alkyl hydroperoxide reductase C22 protein,473,248,281,207,-0.343604121895556,0.348769865391852
ahpF,STMMW_06741,D23580,710065,711630,+,alkyl hydroperoxide reductase F52A protein (subunit F),1541,829,1113,794,-0.101737973571724,0.723242863161646
STMMW_06751,STMMW_06751,D23580,711962,712522,+,conserved hypothetical protein,481,309,284,196,-0.542227854191666,0.0555785437576886
STMMW_06761,STMMW_06761,D23580,712515,714794,+,molybdopterin-containing oxidoreductase catalytic subunit,2586,1415,2436,1432,0.139529164415115,0.477473772810107
STMMW_06771,STMMW_06771,D23580,714791,715348,+,molybdopterin-containing oxidoreductase iron-sulfur subunit,947,471,793,530,0.118698417763455,0.75452505323042
STMMW_06781,STMMW_06781,D23580,715348,716115,+,molybdopterin-containing oxidoreductase membrane anchor subunit,1121,595,966,581,0.0472432552661836,0.930422160079793
ybdQ,STMMW_06791,D23580,716183,716611,-,conserved hypothetical protein,821,470,702,412,-0.03173027731996,0.96994659486899
ybdR,STMMW_06801,D23580,716834,718072,+,hypothetical zinc-dependant alcohol dehydrogenase,1286,744,1023,688,-0.0535259427825956,0.907892845972391
rnk,STMMW_06811,D23580,718155,718565,-,regulator of nucleoside diphosphate kinase,455,217,368,235,0.0650572383515817,0.939667081782974
rna,STMMW_06821,D23580,718800,719606,-,ribonuclease I precursor,905,511,801,625,0.222781418781817,0.362558078435223
citT,STMMW_06831,D23580,719716,721179,-,citrate carrier,2298,1229,1960,1519,0.20179828569238,0.146510043063407
citG,STMMW_06841,D23580,721217,722113,-,citg protein,1152,627,948,709,0.112088263025016,0.728320865910922
citX,STMMW_06851,D23580,722085,722636,-,probable apo-citrate lyase phosphoribosyl-dephospho-coa transferase (ec 2.7.7.61) (holo-acp synthase) (holo-citrate lyase synthase) (apo-acp nucleodityltransferase),856,433,661,492,0.0659028153423166,0.907892845972391
citF,STMMW_06861,D23580,722640,724169,-,citrate lyase alpha chain,1847,1008,1555,1100,0.103678543539492,0.650236681348167
citE,STMMW_06871,D23580,724179,725087,-,citrate lyase beta chain,611,366,595,347,0.119586805977372,0.821192486611816
citD,STMMW_06881,D23580,725084,725380,-,citrate lyase acyl carrier protein,358,207,346,216,0.178155778460523,0.756096723493639
citC,STMMW_06891,D23580,725377,726453,-,[citrate (PRO-3S)-lyase] ligase,1860,1054,1467,1080,0.0117198388310372,0.985728805285676
citA,STMMW_06901,D23580,726838,728499,+,twp component sensor kinase DpiB,2115,1150,1632,1291,0.0611389518208316,0.842343682515983
citB,STMMW_06911,D23580,728468,729148,+,transcriptional regulator,1063,563,824,574,-0.00583450998193438,0.995795817081641
dcuC,STMMW_06921,D23580,729202,730455,-,C4-dicarboxylate anaerobic carrier,2012,1051,1448,1006,-0.105427643263348,0.650236681348167
pagP,STMMW_06931,D23580,730966,731538,+,antimicrobial peptide resistance and lipid A acylation protein,1105,636,992,699,0.156790393414796,0.54243825856863
cspE,STMMW_06941,D23580,731726,731935,+,cold shock-like protein cspE,188,143,151,85,-0.362998290121078,0.61353282857414
ccrB,STMMW_06951,D23580,731993,732376,-,putative membrane protein,54,28,38,29,-0.0666511963954354,0.985728805285676
ybeM,STMMW_06961,D23580,732467,733255,+,possible hydrolase,346,194,289,198,0.0515465026428651,0.961263851325046
tatE,STMMW_06971,D23580,733384,733587,+,Sec-independent protein translocase protein,143,98,123,92,0.00921439217382502,0.99711030668065
lipA,STMMW_06981,D23580,733673,734638,-,lipoic acid synthetase,43,75,97,56,0.351712547300554,0.824200100146896
ybeF,STMMW_06991,D23580,734844,735797,-,LysR-family transcriptional regulator,1756,1057,1462,1068,0.0413951649316261,0.917987479206101
lipB,STMMW_07001,D23580,736099,736674,-,lipoate-protein ligase B (lipoate biosynthesis protein B),76,48,30,45,-0.469216859156922,0.744023125304647
ybeD,STMMW_07011,D23580,736840,737103,-,conserved hypothetical protein,40,20,21,19,-0.337112821055228,0.895672205248638
dacA,STMMW_07021,D23580,737212,738423,-,D-alanine carboxypeptidase,760,418,688,461,0.16566229338117,0.628552397070534
rlpA,STMMW_07031,D23580,738563,739708,-,rare lipoprotein A precursor,1244,623,1027,794,0.196628116753358,0.386448119043259
mrdB,STMMW_07041,D23580,739719,740831,-,rod shape-determining protein RodA,14,2,12,2,0.0834745402110024,0.993232969158571
mrdA,STMMW_07051,D23580,740834,742735,-,penicillin-binding protein,18,16,23,16,0.320145187598406,0.922248980345909
ybeA,STMMW_07061,D23580,742766,743233,-,conserved hypothetical protein,263,161,252,244,0.447853320611734,0.291214058857281
ybeB,STMMW_07071,D23580,743237,743554,-,conserved hypothetical protein,232,125,270,170,0.50021320055529,0.220723269329711
cobC,STMMW_07081,D23580,743883,744491,-,alpha-ribazole-5'-phosphate phosphatase,878,531,751,672,0.229307829438782,0.414293884102572
cobD,STMMW_07091,D23580,744588,745682,+,putative aminotransferase CobD,1176,687,1089,699,0.127265436862795,0.666038841635383
nadD,STMMW_07101,D23580,745657,746298,-,conserved hypothetical protein,8,12,95,12,2.32094332411043,0.041752584215591
holA,STMMW_07111,D23580,746300,747331,-,"DNA polymerase III, delta subunit",80,46,95,74,0.63326213351084,0.401110811000378
rlpB,STMMW_07121,D23580,747331,747921,-,rare lipoprotein B precursor,17,14,28,9,0.317224623439957,0.92689735262143
leuS,STMMW_07131,D23580,747936,750518,-,leucyl-tRNA synthetase,277,427,406,256,-0.105399604087569,0.97894828338577
STMMW_07141,STMMW_07141,D23580,750755,751096,+,putative hydrolase N-terminus,247,140,242,156,0.233010151069199,0.722851531150625
STMMW_07151,STMMW_07151,D23580,751113,752285,+,putative hydrolase C-terminus,2454,1409,1781,1392,-0.0741818357651397,0.767001199835351
STMMW_07161,STMMW_07161,D23580,752404,753288,+,probable permease,1921,1004,1420,1003,-0.0557241673861444,0.87165841331205
STMMW_07171,STMMW_07171,D23580,753356,755284,+,putative sigma-54 dependent transcriptional regulator,3949,2426,2691,2222,-0.172906626900684,0.220102933873055
ybeL,STMMW_07181,D23580,755377,755850,+,conserved hypothetical protein,396,189,350,219,0.178940405028063,0.757951555480473
ybeQ,STMMW_07191,D23580,755889,756884,-,conserved hypothetical protein,3687,2027,2620,1937,-0.114716885937237,0.406839946894229
ybeR,STMMW_07201,D23580,757009,757716,+,conserved hypothetical protein,1160,646,928,702,0.0638238268635712,0.88806745497218
ybeS,STMMW_07211,D23580,757713,759146,+,putative membrane protein,2193,1160,1840,1279,0.107754376812737,0.605529409897054
ybeU,STMMW_07221,D23580,759158,759851,+,putative conserved hypothetical protein (pseudogene),1316,722,1104,745,0.0623759311193317,0.877921998569135
ybeV,STMMW_07231,D23580,759851,761323,+,,2483,1334,1989,1586,0.129414339296092,0.475657589330255
hscC,STMMW_07241,D23580,761345,763024,-,chaperone heat shock protein,2439,1342,1884,1412,0.01489919412569,0.976284555989647
STMMW_07251,STMMW_07251,D23580,763100,764338,-,putative conserved hypothetical protein,892,457,793,529,0.184179854773449,0.528858790737573
rihA,STMMW_07261,D23580,764370,765305,-,probable nucleoside hydrolase,819,422,656,490,0.108995805904844,0.796680271988316
gltL,STMMW_07271,D23580,765422,766147,-,glutamate/aspartate transport ATP-binding protein GltL,962,494,772,561,0.0943594282159852,0.821734662199577
gltK,STMMW_07281,D23580,766147,766821,-,glutamate/aspartate transport system permease protein GltK,811,401,638,524,0.180413299568395,0.610038429013165
gltJ,STMMW_07291,D23580,766821,767561,-,glutamate/aspartate transport system permease protein GltJ,789,442,759,517,0.251903104135013,0.30494402641019
gltI,STMMW_07301,D23580,767721,768647,-,ABC transporter periplasmic binding protein (glutamate/aspartate?),817,438,621,417,-0.0674934756522834,0.907892845972391
lnt,STMMW_07311,D23580,768984,770522,-,apolipoprotein N-acyltransferase,57,33,31,46,0.0483058975069801,0.989090437738042
ybeX,STMMW_07321,D23580,770542,771420,-,haemolysin-related protein,481,223,252,162,-0.537831917072931,0.0989123132001608
ybeY,STMMW_07331,D23580,771578,772051,-,conserved hypothetical protein,82,39,50,24,-0.513085239615747,0.698383080647826
phoL,STMMW_07341,D23580,772048,773133,-,PhoH-like ATP-binding protein,401,228,288,217,-0.109180071262409,0.888015402372921
miaB,STMMW_07351,D23580,773299,774723,-,MiaB protein (putative tRNA-thiotransferase (or tRNA-methylthiotransferase)),1690,887,1269,863,-0.0621214290661646,0.863781128460271
ubiF,STMMW_07361,D23580,774867,776042,+,putative monooxygenase,48,29,20,24,-0.565963720995028,0.747087168804805
STMMW_07371,STMMW_07371,D23580,776109,776684,-,putative exported protein,537,292,474,349,0.202633172054392,0.610038429013165
asnB,STMMW_07381,D23580,777751,779415,-,asparagine synthetase B,2034,1066,1959,1321,0.291935109102319,0.0159209971767902
nagD,STMMW_07391,D23580,779705,780457,-,NagD protein,909,686,599,453,-0.446492708659542,0.0484318270850942
nagC,STMMW_07401,D23580,780504,781724,-,N-acetylglucosamine repressor,831,430,449,321,-0.492645898064262,0.0185136283643157
nagA,STMMW_07411,D23580,781729,782883,-,N-acetylglucosamine-6-phosphate deacetylase,453,306,201,210,-0.67685317927648,0.0340767380510569
nagB,STMMW_07421,D23580,782943,783743,-,Glucosamine-6-phosphate deaminase,961,619,723,508,-0.182217996548557,0.539307224314901
nagE,STMMW_07431,D23580,784070,786022,+,"PTS system, N-acetylglucosamine-specific IIABC component",2184,1139,1806,1363,0.154668905508183,0.355912706747828
glnS,STMMW_07441,D23580,786233,787900,+,glutaminyl-tRNA synthetase,41,31,34,41,0.264940149841226,0.907892845972391
ybfM,STMMW_07451,D23580,788346,789752,+,putative outer membrane protein,2258,1256,1899,1436,0.136576500724653,0.417419671218413
ybfN,STMMW_07461,D23580,789802,790134,+,putative lipoprotein,545,259,421,290,0.0522517948962739,0.949478492365177
STMMW_07471,STMMW_07471,D23580,790183,791487,-,citrate-proton symporter,2115,1081,1794,1316,0.18430424265057,0.235285925582118
STMMW_07481,STMMW_07481,D23580,791538,792677,-,citrate utilization protein B,1664,922,1500,1057,0.189159690893519,0.260539101282705
STMMW_07491,STMMW_07491,D23580,792664,794067,-,conserved hypothetical protein,1818,934,1568,1043,0.136834099236501,0.520139576736303
STMMW_07501,STMMW_07501,D23580,794165,795091,-,LysR-family transcriptional regulator,1061,567,941,591,0.112341495320099,0.754326124175127
fur,STMMW_07511,D23580,795206,795658,-,ferric uptake regulation protein,46,29,18,2,-1.84416272080037,0.164245075838999
fldA,STMMW_07521,D23580,795940,796470,-,flavodoxin 1,84,94,97,91,0.1857962766282,0.907892845972391
ybfE,STMMW_07531,D23580,796633,796914,-,conserved hypothetical protein,216,104,222,140,0.395607393937577,0.463323488468918
ybfF,STMMW_07541,D23580,797048,797818,-,putative esterase/lipase YbfF,465,242,394,297,0.189982127474984,0.684384031582577
seqA,STMMW_07551,D23580,798003,798545,+,seqA protein,589,349,249,202,-0.849859252778391,0.000236786877729925
pgm,STMMW_07561,D23580,798615,800210,+,phosphoglucomutase,262,109,48,33,-1.93998861596817,0.00000369
STMMW_07571,STMMW_07571,D23580,800325,800810,-,possible 5-nitroimidazole antibiotic resistance,469,276,376,256,-0.0458472768060647,0.960306932520787
potE,STMMW_07581,D23580,800875,802194,-,putrescine-ornithine antiporter,1802,1034,1529,1100,0.0920687693291641,0.716293457023393
speF,STMMW_07591,D23580,802191,804389,-,"ornithine decarboxylase, inducible (ec 4.1.1.17)",3220,1752,2938,1974,0.186156961619145,0.0937568553190115
kdpE,STMMW_07601,D23580,805151,805828,-,KDP operon transcriptional regulatory protein,649,380,551,398,0.0815729439986476,0.888251685148119
kdpD,STMMW_07611,D23580,805825,808509,-,sensor protein KdpD,3807,1981,3476,2531,0.273459458311829,0.00153631971369707
kdpC,STMMW_07621,D23580,808506,809090,-,potassium-transporting ATPase C chain,1155,611,999,632,0.0878259947938573,0.822751261703245
kdpB,STMMW_07631,D23580,809099,811147,-,potassium-transporting ATPase B chain,3206,1594,2729,1826,0.143716516542192,0.333713670189593
kdpA,STMMW_07641,D23580,811168,812847,-,potassium-transporting ATPase A chain,3107,1539,2679,1743,0.14579523329279,0.351604249732919
kdpF,STMMW_07642,D23580,812847,812936,-,conserved sORF,156,110,145,108,0.0962222424774879,0.942834091299116
ybfA,STMMW_07651,D23580,813273,813479,+,putative exported protein,285,165,228,232,0.268065548830976,0.650236681348167
phrB,STMMW_07661,D23580,813590,815011,+,deoxyribodipyrimidine photolyase,1666,842,1406,960,0.134126288166009,0.561981601071302
ybgH,STMMW_07671,D23580,815050,816531,-,PTR2-family transport protein,2051,981,1670,1155,0.127447401121929,0.575590839855426
ybgI,STMMW_07681,D23580,816860,817603,+,conserved hypothetical protein,1056,576,788,578,-0.0444822647854792,0.933266786932614
ybgJ,STMMW_07691,D23580,817619,818275,+,conserved hypothetical protein,595,326,532,370,0.175971822317239,0.650236681348167
ybgK,STMMW_07701,D23580,818269,819201,+,conserved hypothetical protein,946,486,769,575,0.133033801820723,0.702246484525418
ybgL,STMMW_07711,D23580,819191,819925,+,conserved hypothetical protein,474,235,360,283,0.0947676201802837,0.89508536600112
STMMW_07721,STMMW_07721,D23580,820249,820380,+,putative protein,161,122,124,87,-0.275331511646511,0.75452505323042
fimB,STMMW_07731,D23580,820440,821006,+,putative type 1 fimbriae regulatory protein,614,315,551,290,0.0457012036002832,0.960306932520787
STMMW_07741,STMMW_07741,D23580,821466,821801,+,putative protein,395,204,363,262,0.281105777684295,0.488188985804035
STMMW_07751,STMMW_07751,D23580,821803,822543,+,putative transport protein,673,344,530,427,0.145437305225828,0.743488743476862
STMMW_07761,STMMW_07761,D23580,822829,823980,+,putative UDP-galactopyranose mutase,78,55,53,53,-0.12976066074718,0.949478492365177
STMMW_07771,STMMW_07771,D23580,823977,824873,+,putative glycosyl transferase,20,12,14,8,-0.369103945111708,0.922668727185208
STMMW_07781,STMMW_07781,D23580,824886,826019,+,galactosyltransferase,32,30,17,44,0.214158838245346,0.944610826562208
STMMW_07791,STMMW_07791,D23580,826148,826918,+,"O-antigen export system, permease protein",196,112,175,95,-0.0158078533857996,0.994813530008434
STMMW_07801,STMMW_07801,D23580,826922,827632,+,ABC transporter domain protein,27,18,32,25,0.525893765835128,0.783224952812228
STMMW_07811,STMMW_07811,D23580,827726,829504,+,"putative glycosyltransferase, cell wall biogenesis",31,26,36,37,0.530232276642762,0.749904229896649
STMMW_07821,STMMW_07821,D23580,829697,830530,+,"putative glycosyltransferase, cell wall biogenesis",19,10,6,2,-1.69984775749989,0.489543433770072
STMMW_07831,STMMW_07831,D23580,830588,832482,+,putative glycosyl transferase (pseudogene),362,246,263,197,-0.227699877110189,0.673928138760672
STMMW_07841,STMMW_07841,D23580,832550,832687,+,conserved hypothetical cytoplasmic protein,247,123,191,164,0.184298055080911,0.822322375086177
nei,STMMW_07851,D23580,832736,833527,+,"endonuclease VIII, DNA N-glycosylase with an AP lyase activity",616,334,521,340,0.0595768897041312,0.929056377813932
abrB,STMMW_07861,D23580,833582,834544,-,putative membrane protein,1013,535,874,489,0.00662407130060914,0.995887418806391
gltA,STMMW_07871,D23580,834765,836048,-,citrate synthase,917,534,418,242,-0.958777130876535,0.000000298
STMMW_07881,STMMW_07881,D23580,836023,836394,+,putative exported protein,458,213,253,284,-0.0345158531898715,0.979418192004189
sdhC,STMMW_07891,D23580,836803,837192,+,succinate dehydrogenase cytochrome b-556 subunit,111,61,30,43,-0.961911399943509,0.22990617675585
sdhD,STMMW_07901,D23580,837186,837533,+,succinate dehydrogenase hydrophobic membrane anchor protein,245,127,89,46,-1.27196584820247,0.00183000478768861
sdhA,STMMW_07911,D23580,837533,839299,+,succinate dehydrogenase flavoprotein subunit,873,560,372,287,-0.93372913188923,0.000000397
sdhB,STMMW_07921,D23580,839313,840032,+,succinate dehydrogenase iron-sulfur protein,207,100,95,46,-0.926733626379597,0.0673083077563457
sucA,STMMW_07931,D23580,840556,843357,+,2-oxoglutarate dehydrogenase E1 component,211,99,43,42,-1.60249236341336,0.000449897209614294
sucB,STMMW_07941,D23580,843372,844580,+,dihydrolipoamide succinyltransferase component (E2),49,27,7,7,-2.20731922950649,0.0451130118875475
