"locus_tag","gene_name","gene_function","DNA_molecule","COG","description","theme","model","FDR","logFC","zscore","DE_rec"
"SL1344_0541","fimF","Fimbrial protein","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",0.108129351987132,-1.24503459220345,-0.954353832452445,"FDR>=0.05"
"SL1344_0542","fimZ","helix_turn_helix, Lux Regulon","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.332090791730555,0.872518243465325,0.668809633684249,"FDR>=0.05"
"SL1344_0543","fimY","response regulator","Chromosome","KT","Transcription;Signal transduction mechanisms","Information storage and processing;Cellular processes and signaling","Phox-spleen",0.155607632176623,1.14148259725956,0.874978332485092,"FDR>=0.05"
"SL1344_0545","fimW","luxR family","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.420880682380139,0.714552426851984,0.54772441771879,"FDR>=0.05"
"SL1344_0546","SL1344_0546","Integrase core domain","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-spleen",0.510601217131467,0.716369990249772,0.549117630891554,"FDR>=0.05"
"SL1344_0547","SL1344_0547","-","Chromosome","-","no category","no theme","Phox-spleen",0.246923994538488,0.954538868530813,0.731680736512694,"FDR>=0.05"
"SL1344_0548","gtrBa","Glycosyl transferase family 2","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-spleen",0.407724871768308,-0.895241430638542,-0.686227592108934,"FDR>=0.05"
"SL1344_0549","gtrAa","Involved in O antigen modification. Involved in the translocation of bactoprenol-linked glucose across the cytoplasmic membrane","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",0.353837115600376,-0.801618565526887,-0.614463047827191,"FDR>=0.05"
"SL1344_0550","SL1344_0550","member of a two-component regulatory system","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-spleen",0.450826244067638,0.793323258839498,0.608104463272149,"FDR>=0.05"
"SL1344_0551","ykgD","AraC family transcriptional regulator","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.565096176103803,0.589108193335642,0.451567904666808,"FDR>=0.05"
"SL1344_0552","ykgC","Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.414510371221571,-0.750749957759422,-0.575470837427251,"FDR>=0.05"
"SL1344_0554","ykgB","Protein of unknown function, DUF417","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.468298656345394,0.716100765908546,0.548911262905116,"FDR>=0.05"
"SL1344_0555","SL1344_0555","Heat shock protein DnaJ domain protein","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-spleen",0.988369206293153,-0.173607192046185,-0.133074767647508,"FDR>=0.05"
"SL1344_0556","pheP","Amino acid permease","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-spleen",0.269359268494419,-0.908890104995478,-0.696689682690196,"FDR>=0.05"
"SL1344_0557","ybdG","Mechanosensitive ion channel","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-spleen",0.845647163517675,0.244122615674362,0.187126811830038,"FDR>=0.05"
"SL1344_0558","apeE","Autotransporter beta-domain","Chromosome","IN","Lipid transport and metabolism;Cell motility","Metabolism;Cellular processes and signaling","Phox-spleen",0.955106764811192,0.458542239321186,0.351485449623548,"FDR>=0.05"
"SL1344_0559","SL1344_0559","transcriptional regulator","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.398359911755173,-0.86578087795226,-0.663645254607322,"FDR>=0.05"
"SL1344_0560","SL1344_0560","SIS domain","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.28853265886301,0.937306216186851,0.71847142657804,"FDR>=0.05"
"SL1344_0561","SL1344_0561","SIS domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-spleen",0.946622699208434,0.102415871286519,0.0785046294121552,"FDR>=0.05"
"SL1344_0562","manZ","PTS system mannose/fructose/sorbose family IID component","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.955106764811192,0.503219633634736,0.385731921773101,"FDR>=0.05"
"SL1344_0565","SL1344_0565","PTS system fructose IIA component","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.995125012877387,-0.0988894593134108,-0.0758015360182714,"FDR>=0.05"
"SL1344_0566","nfnB","Nitroreductase family","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.994479596260279,-0.132842809570581,-0.101827728499545,"FDR>=0.05"
"SL1344_0567","ybdF","YjbR","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.179222850854396,-1.0962149226232,-0.840279393960852,"FDR>=0.05"
"SL1344_0568","ramR","Bacterial regulatory proteins, tetR family","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.988369206293153,-0.309535067101549,-0.237267285115333,"FDR>=0.05"
"SL1344_0569","ramA","Helix-turn-helix domain","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.988369206293153,-0.209369435945083,-0.160487527691074,"FDR>=0.05"
"SL1344_0570","ybdJ","Protein of unknown function (DUF1158)","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.915335708716661,0.582306966122296,0.446354573810716,"FDR>=0.05"
"SL1344_0571","ybdK","ATP-dependent carboxylate-amine ligase which exhibits weak glutamate--cysteine ligase activity","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-spleen",0.988369206293153,0.17685154338137,0.135561653674567,"FDR>=0.05"
"SL1344_0572","entD","4'-phosphopantetheinyl transferase superfamily","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-spleen",0.992088133312603,-0.14428838897065,-0.110601085186577,"FDR>=0.05"
"SL1344_0573","fepA","TonB-dependent Receptor Plug Domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-spleen",0.993614942857309,-0.150742612469086,-0.115548427991194,"FDR>=0.05"
"SL1344_0574","fes","Domain of unknown function (DUF3327)","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-spleen",0.98048630995855,0.390758140584409,0.299527042352076,"FDR>=0.05"
"SL1344_0576","entF","Condensation domain","Chromosome","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-spleen",0.824094389496423,-0.277324302844805,-0.212576833534994,"FDR>=0.05"
"SL1344_0577","fepE","Chain length determinant protein","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-spleen",0.358543679465569,-0.78223497796402,-0.599604985896108,"FDR>=0.05"
"SL1344_0579","fepG","FecCD transport family","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-spleen",8.6e-07,-3.85234369011802,-2.95292916968796,"Attenuated"
"SL1344_0581","ybdA","Exports the siderophore enterobactin out of the cell","Chromosome","EGP","Amino acid transport and metabolism;Carbohydrate transport and metabolism;Inorganic ion transport and metabolism","Metabolism","Phox-spleen",0.910816161415581,-0.157915254265587,-0.121046458511924,"FDR>=0.05"
"SL1344_0583","entC","chorismate binding enzyme","Chromosome","HQ","Coenzyme transport and metabolism;Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-spleen",0.98048630995855,0.343577997945132,0.263362143621222,"FDR>=0.05"
"SL1344_0584","entE","AMP-binding enzyme C-terminal domain","Chromosome","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-spleen",0.930582306278264,0.572780553589746,0.439052312197348,"FDR>=0.05"
"SL1344_0585","entB","Phosphopantetheine attachment site","Chromosome","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-spleen",0.996188712105698,0.0689454828328821,0.0528486406593699,"FDR>=0.05"
"SL1344_0587","ybdB","Required for optimal enterobactin synthesis. Acts as a proofreading enzyme that prevents EntB misacylation by hydrolyzing the thioester bound existing between EntB and wrongly charged molecules","Chromosome","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-spleen",0.845053982792239,0.725668541013989,0.556245230087315,"FDR>=0.05"
"SL1344_0588","cstAa","5TM C-terminal transporter carbon starvation CstA","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-spleen",0.988369206293153,0.298833582367735,0.229064297798674,"FDR>=0.05"
"SL1344_0590","ybdH","Iron-containing alcohol dehydrogenase","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.98048630995855,0.350376702712157,0.268573540951669,"FDR>=0.05"
"SL1344_0591","ybdL","Cys/Met metabolism PLP-dependent enzyme","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-spleen",0.702174834426514,0.876006484936728,0.671483468321134,"FDR>=0.05"
"SL1344_0593","ybdN","Domain of unknown function (DUF3440)","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.666936436748497,0.521681822835924,0.399883706092951,"FDR>=0.05"
"SL1344_0594","ybdO","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.550784171898797,-0.641067763784065,-0.491396368470593,"FDR>=0.05"
"SL1344_0595","dsbG","Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-spleen",0.633567833902545,0.938672282055492,0.719518554268535,"FDR>=0.05"
"SL1344_0596","ahpC","C-terminal domain of 1-Cys peroxiredoxin","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-spleen",0.905362041743132,0.656973315851837,0.503588418931043,"FDR>=0.05"
"SL1344_0597","ahpF","Thioredoxin domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.999304589921669,0.0243946730272427,0.01869919907508,"FDR>=0.05"
"SL1344_0598","SL1344_0598","Nitrate reductase delta subunit","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.311079239877637,-0.918902728369713,-0.704364638510655,"FDR>=0.05"
"SL1344_0599","SL1344_0599","Molydopterin dinucleotide binding domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.876938264473189,-0.21737394901941,-0.166623210809629,"FDR>=0.05"
"SL1344_0600","SL1344_0600","4Fe-4S dicluster domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.988369206293153,-0.243833738742141,-0.186905379583015,"FDR>=0.05"
"SL1344_0603","ybdR","Alcohol dehydrogenase GroES-associated","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-spleen",0.643969246437299,0.884460825539589,0.677963956819786,"FDR>=0.05"
"SL1344_0605","rna","Ribonuclease T2 family","Chromosome","J"," Translation, ribosomal structure and biogenesis","Information storage and processing","Phox-spleen",0.513794815610983,0.656203959266085,0.502998685592923,"FDR>=0.05"
"SL1344_0606","citT","Sodium:sulfate symporter transmembrane region","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-spleen",0.99918753221705,-0.045227165969334,-0.0346678874981359,"FDR>=0.05"
"SL1344_0608","citX","Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase","Chromosome","HI","Coenzyme transport and metabolism;Lipid transport and metabolism","Metabolism","Phox-spleen",0.996188712105698,-0.0584308204016959,-0.0447888578621811,"FDR>=0.05"
"SL1344_0610","citE","C-C_Bond_Lyase of the TIM-Barrel fold","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.99400186441179,0.120666266303675,0.0924940675670974,"FDR>=0.05"
"SL1344_0611","citD","Covalent carrier of the coenzyme of citrate lyase","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.251273746905154,1.13729210085494,0.871766199803261,"FDR>=0.05"
"SL1344_0612","citC","Acetylation of prosthetic group (2-(5''-phosphoribosyl)- 3'-dephosphocoenzyme-A) of the gamma subunit of citrate lyase","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-spleen",0.807214014381541,-0.310049999643287,-0.23766199530872,"FDR>=0.05"
"SL1344_0613","citA","Single cache domain 3","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-spleen",0.960906097861678,0.447612320845464,0.343107361455541,"FDR>=0.05"
"SL1344_0614","citB","Transcriptional regulator","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.269359268494419,0.916648942371842,0.702637048515915,"FDR>=0.05"
"SL1344_0615","dcuC","C4-dicarboxylate anaerobic carrier","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.251686349369993,0.965055722411352,0.739742199117095,"FDR>=0.05"
"SL1344_0622","ybeF","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.988369206293153,-0.239981065455049,-0.183952197768029,"FDR>=0.05"
"SL1344_0625","dacA","Penicillin-binding protein 5, C-terminal domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-spleen",0.868771378507245,-0.709062842613705,-0.543516497883326,"FDR>=0.05"
"SL1344_0626","rlpA","Lytic transglycosylase with a strong preference for naked glycan strands that lack stem peptides","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-spleen",0.228651021488064,1.05836900250751,0.811269437826881,"FDR>=0.05"
"SL1344_0632","cobD","O-2-phosphate, the precursor for the linkage between the nucleotide loop and the corrin ring in cobalamin","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-spleen",0.77998272032609,0.329002398018334,0.252189538669086,"FDR>=0.05"
"SL1344_0638","SL1344_0638","D-galactarate dehydratase / Altronate hydrolase, C terminus","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.858399176953049,0.228295518082373,0.174994898919263,"FDR>=0.05"
"SL1344_0639","SL1344_0639","The 2-keto-3-deoxygluconate permease transports the degraded pectin products into the bacterial cell, where they serve as carbon and energy sources. This is a hydrogen coupled transport system","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",0.964688468669002,-0.0720655825546371,-0.055240284350025,"FDR>=0.05"
"SL1344_0640","SL1344_0640","Propionate catabolism activator","Chromosome","KT","Transcription;Signal transduction mechanisms","Information storage and processing;Cellular processes and signaling","Phox-spleen",0.348546309881686,-0.926521953801965,-0.710204987876948,"FDR>=0.05"
"SL1344_0642","ybeQ","conserved hypothetical protein","Chromosome",NA,"no category","no theme","Phox-spleen",0.493210606414891,-0.769923074193436,-0.59016756735222,"FDR>=0.05"
"SL1344_0643","ybeR","Protein of unknown function (DUF1266)","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.459213169386588,0.722201428666666,0.553587591514916,"FDR>=0.05"
"SL1344_0644","ybeS","PFAM heat shock protein DnaJ domain protein","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-spleen",0.318341986906118,0.887094067567171,0.679982410472829,"FDR>=0.05"
"SL1344_0645","ybeU","hypothetical conserved hypothetical protein (pseudogene)","Chromosome",NA,"no category","no theme","Phox-spleen",0.192744672919871,1.04921073213646,0.804249367475439,"FDR>=0.05"
"SL1344_0647","ybeV","PFAM heat shock protein DnaJ domain protein","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-spleen",0.951135397295467,0.502462508402027,0.385151564109139,"FDR>=0.05"
"SL1344_0648","hscC","Heat shock 70 kDa protein","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-spleen",0.935137128960497,0.555871518208579,0.42609106371466,"FDR>=0.05"
"SL1344_0649","SL1344_0649","-","Chromosome","-","no category","no theme","Phox-spleen",0.782778526675748,-0.334084180797256,-0.256084867281741,"FDR>=0.05"
"SL1344_0650","rihA","Hydrolyzes cytidine or uridine to ribose and cytosine or uracil, respectively","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-spleen",0.735533023256282,0.840742950170097,0.644452982773906,"FDR>=0.05"
"SL1344_0653","gltJ","Binding-protein-dependent transport system inner membrane component","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-spleen",0.568985910464977,0.918614621576135,0.704143796596439,"FDR>=0.05"
"SL1344_0654","gltI","Bacterial periplasmic substrate-binding proteins","Chromosome","ET","Amino acid transport and metabolism;Signal transduction mechanisms","Metabolism;Cellular processes and signaling","Phox-spleen",0.819605138658828,0.722152157624718,0.553549823883393,"FDR>=0.05"
"SL1344_0659","miaB","Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine","Chromosome","J"," Translation, ribosomal structure and biogenesis","Information storage and processing","Phox-spleen",0.955810504140754,-0.559821189331582,-0.429118597083427,"FDR>=0.05"
"SL1344_0662","asnB","Aluminium induced protein","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-spleen",0.98048630995855,0.398814292681708,0.305702308225829,"FDR>=0.05"
"SL1344_0663","nagD","Haloacid dehalogenase-like hydrolase","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.988369206293153,0.191932804970498,0.147121862431763,"FDR>=0.05"
"SL1344_0664","nagC","ROK family","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.925380796243146,-0.147178939240783,-0.112816772803188,"FDR>=0.05"
"SL1344_0666","nagB","Catalyzes the reversible isomerization-deamination of glucosamine 6-phosphate (GlcN6P) to form fructose 6-phosphate (Fru6P) and ammonium ion","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.0241301804393937,-2.31418365736472,-1.77388648976906,"Attenuated"
"SL1344_0667","nagE","phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",0.788573669460514,-0.333930439440776,-0.255967020232605,"FDR>=0.05"
"SL1344_0669","ybfM","outer membrane porin, OprD family","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.610986564984926,0.596631981718311,0.457335098865688,"FDR>=0.05"
"SL1344_0671","SL1344_0671","Sugar (and other) transporter","Chromosome","EGP","Amino acid transport and metabolism;Carbohydrate transport and metabolism;Inorganic ion transport and metabolism","Metabolism","Phox-spleen",0.187602962193648,1.18824994076393,0.910826809135066,"FDR>=0.05"
"SL1344_0672","SL1344_0672","With CitA (TcuA) catalyzes the oxidation of tricarballylate to cis-aconitate","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.642262425158506,0.518723304263425,0.397615918871835,"FDR>=0.05"
"SL1344_0673","SL1344_0673","FAD dependent oxidoreductase","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.866705210386328,0.75639331232302,0.579796626517276,"FDR>=0.05"
"SL1344_0674","SL1344_0674","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.988369206293153,0.271581375368741,0.208174719022996,"FDR>=0.05"
"SL1344_0677","ybfE","Ribbon-helix-helix protein, copG family","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.983582508596349,0.372315801376375,0.285390473607085,"FDR>=0.05"
"SL1344_0678","ybfF","PGAP1-like protein","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.972504756647745,-0.444446963872093,-0.340681026815899,"FDR>=0.05"
"SL1344_0679","seqA","Negative regulator of replication initiation, which contributes to regulation of DNA replication and ensures that replication initiation occurs exactly once per chromosome per cell cycle. Binds to pairs of hemimethylated GATC sequences in the oriC region, thus preventing assembly of replication proteins and re- initiation at newly replicated origins. Repression is relieved when the region becomes fully methylated","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-spleen",9.62e-12,-4.97007143556301,-3.80969874395016,"Attenuated"
"SL1344_0680","pgm","Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-spleen",1.19e-15,-5.75998533496755,-4.4151898378723,"Attenuated"
"SL1344_0681","SL1344_0681","Pyridoxamine 5'-phosphate oxidase","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.539153922959631,1.05021376811237,0.805018222600985,"FDR>=0.05"
"SL1344_0682","potE","Catalyzes both the uptake and excretion of putrescine. The uptake of putrescine is dependent on the membrane potential and the excretion involves putrescine-ornithine antiporter activity","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-spleen",0.464317143813737,0.761672672103447,0.583843403426847,"FDR>=0.05"
"SL1344_0683","speF","Orn/Lys/Arg decarboxylase, N-terminal domain","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-spleen",0.874080696363206,0.226878970576405,0.173909075642033,"FDR>=0.05"
"SL1344_0684","kdpE","Transcriptional regulatory protein, C terminal","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.722762221355468,0.406741950142188,0.311779079367095,"FDR>=0.05"
"SL1344_0685","kdpD","Domain of unknown function (DUF4118)","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-spleen",0.976618634011754,0.397497419086431,0.304692887788536,"FDR>=0.05"
"SL1344_0687","kdpB","Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit is responsible for energy coupling to the transport system","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-spleen",0.763239282088645,0.842388298740881,0.645714188465764,"FDR>=0.05"
"SL1344_0691","ybgH","proton-dependent permease that transports dipeptides","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",0.99918753221705,0.0461037763368522,0.0353398338593433,"FDR>=0.05"
"SL1344_0692","ybgI","NIF3 (NGG1p interacting factor 3)","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.694430742142656,-0.455456125201639,-0.349119856847396,"FDR>=0.05"
"SL1344_0693","ybgJ","Pfam:AHS1","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-spleen",0.991437571817461,0.155471038323705,0.119172898639705,"FDR>=0.05"
"SL1344_0694","ybgK","Carboxyltransferase domain, subdomain A and B","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-spleen",0.332491823474409,0.866227944230998,0.663987943412232,"FDR>=0.05"
"SL1344_0695","ybgL","LamB/YcsF family","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.266797309046234,1.10265962214742,0.845219436372893,"FDR>=0.05"
"SL1344_0696","SL1344_0696","hypothetical protein","Chromosome",NA,"no category","no theme","Phox-spleen",0.790666442212966,-0.337918723366345,-0.25902415139435,"FDR>=0.05"
"SL1344_0698","SL1344_0698","-","Chromosome","-","no category","no theme","Phox-spleen",0.974449254015671,0.425139771022624,0.325881523569022,"FDR>=0.05"
"SL1344_0699","SL1344_0699","indole-3-glycerol-phosphate synthase activity","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-spleen",0.702174834426514,0.851107233892094,0.652397496085144,"FDR>=0.05"
"SL1344_0703","SL1344_0703","Glycosyl transferase 4-like","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-spleen",0.084603946127498,-1.33698339573651,-1.02483516171888,"FDR>=0.05"
"SL1344_0704","SL1344_0704","PFAM ABC-2 type transporter","Chromosome","GM","Carbohydrate transport and metabolism;Cell wall/membrane/envelop biogenesis","Metabolism;Cellular processes and signaling","Phox-spleen",0.0508290267507577,1.48481162095991,1.1381496303851,"FDR>=0.05"
"SL1344_0708","SL1344_0708","Hydrolase","Chromosome","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-spleen",0.284289616537625,-0.965934272429923,-0.740415632275077,"FDR>=0.05"
"SL1344_0709","SL1344_0709","conserved hypothetical cytoplasmic protein","Chromosome",NA,"no category","no theme","Phox-spleen",0.70926009228747,0.469266186441412,0.359705654987555,"FDR>=0.05"
"SL1344_0710","nei","Involved in base excision repair of DNA damaged by oxidation or by mutagenic agents. Acts as DNA glycosylase that recognizes and removes damaged bases. Has a preference for oxidized pyrimidines, such as thymine glycol, 5,6-dihydrouracil and 5,6-dihydrothymine. Has AP (apurinic apyrimidinic) lyase activity and introduces nicks in the DNA strand. Cleaves the DNA backbone by beta-delta elimination to generate a single-strand break at the site of the removed base with both 3'- and 5'- phosphates","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-spleen",0.117369500923159,1.25874059275472,0.964859865164797,"FDR>=0.05"
"SL1344_0712","gltA","Citrate synthase, C-terminal domain","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-spleen",5.89e-07,-3.56727230974244,-2.73441398457776,"Attenuated"
"SL1344_0716","sdhA","Fumarate reductase flavoprotein C-term","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",1.65e-09,-4.22852707784806,-3.24128425639261,"Attenuated"
"SL1344_0717","sdhB","2Fe-2S iron-sulfur cluster binding domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",9.14e-06,-3.67835026923931,-2.81955834683939,"Attenuated"
"SL1344_0720","sucC","Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-spleen",0.000815719376145453,-2.49934573590681,-1.91581840104935,"Attenuated"
"SL1344_0722","cydA","Cytochrome bd terminal oxidase subunit I","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",5.36e-15,-5.82911351086288,-4.46817851787307,"Attenuated"
"SL1344_0728","tolR","Biopolymer transport protein ExbD/TolR","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-spleen",3.43e-22,-6.83706866116999,-5.24080432815946,"Attenuated"
"SL1344_0729","tolA","TolA C-terminal","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-spleen",6.27e-19,-6.65596519010887,-5.10198345301274,"Attenuated"
"SL1344_0734","pnuC","Nicotinamide mononucleotide transporter","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-spleen",0.712326430561396,0.833596801935419,0.638975260309208,"FDR>=0.05"
"SL1344_0735","ybgR","Involved in zinc efflux across the cytoplasmic membrane, thus reducing zinc accumulation in the cytoplasm and rendering bacteria more resistant to zinc. It may contribute to zinc homeostasis at low concentrations of zinc","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-spleen",0.886950487711316,0.19528666764567,0.149692691963419,"FDR>=0.05"
"SL1344_0736","ybgS","YbgS-like protein","Chromosome","S","Function Unknown","Poorly characterised","Phox-spleen",0.0650010183472276,1.34230141385894,1.02891157132868,"FDR>=0.05"
"SL1344_0738","SL1344_0738","Fumarase C-terminus","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.317184321158169,0.934363786825348,0.716215972187089,"FDR>=0.05"
"SL1344_0739","SL1344_0739","Fumarate hydratase (Fumerase)","Chromosome","C","Energy production and conversion","Metabolism","Phox-spleen",0.37883667659321,-0.871390391776422,-0.667945103824209,"FDR>=0.05"
"SL1344_0740","SL1344_0740","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.242732947572527,0.958188619569689,0.734478372749679,"FDR>=0.05"
"SL1344_0741","SL1344_0741","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-spleen",0.0392606387728954,-1.76991514002018,-1.35668945069588,"Attenuated"
"SL1344_0742","SL1344_0742","COG0471 Di- and tricarboxylate transporters","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-spleen",0.0415799755824823,1.31842820002442,1.01061208530749,"Amplified"
