"locus_tag","gene_name","gene_function","DNA_molecule","COG","description","theme","model","FDR","logFC","zscore"
"SL1344_0545","fimW","luxR family","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.70941127628519,0.406772851115903,0.346494720352929
"SL1344_0546","SL1344_0546","Integrase core domain","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",0.340251914949859,0.896921074222113,0.764009731570529
"SL1344_0547","SL1344_0547","-","Chromosome","-","no category","no theme","Phox-liver",0.482846118834291,0.677036923773584,0.576709381975674
"SL1344_0548","gtrBa","Glycosyl transferase family 2","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.714775907923083,-0.358501179845042,-0.305376245528266
"SL1344_0549","gtrAa","Involved in O antigen modification. Involved in the translocation of bactoprenol-linked glucose across the cytoplasmic membrane","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.372510996404584,-0.877395742908462,-0.747377785277254
"SL1344_0550","SL1344_0550","member of a two-component regulatory system","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-liver",0.466903987918535,0.721641671086429,0.614704320438697
"SL1344_0551","ykgD","AraC family transcriptional regulator","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.714775907923083,0.35517471729261,0.302542718883832
"SL1344_0552","ykgC","Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.64694162794293,0.469233898083987,0.399699900941519
"SL1344_0554","ykgB","Protein of unknown function, DUF417","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.672978665625729,0.422994988597795,0.360312960618707
"SL1344_0555","SL1344_0555","Heat shock protein DnaJ domain protein","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.0706835023998874,-0.0602091814397814
"SL1344_0556","pheP","Amino acid permease","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.540404588334552,-0.602014360012739,-0.512804128271643
"SL1344_0557","ybdG","Mechanosensitive ion channel","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.782240412024683,0.286802318795324,0.244302167597813
"SL1344_0558","apeE","Autotransporter beta-domain","Chromosome","IN","Lipid transport and metabolism;Cell motility","Metabolism;Cellular processes and signaling","Phox-liver",0.999204941602324,0.0558825407471777,0.0476015183306502
"SL1344_0559","SL1344_0559","transcriptional regulator","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.437851272424971,-0.769734964822193,-0.655670850820728
"SL1344_0560","SL1344_0560","SIS domain","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.566495250827069,-0.612039119724216,-0.521343356745974
"SL1344_0561","SL1344_0561","SIS domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.849681867952606,0.207429013073134,0.176690891933151
"SL1344_0562","manZ","PTS system mannose/fructose/sorbose family IID component","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.248148806789197,0.211376573383548
"SL1344_0565","SL1344_0565","PTS system fructose IIA component","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.00410050349289016,-0.00349286538464277
"SL1344_0566","nfnB","Nitroreductase family","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.963061997180183,-0.0550682009011774,-0.0469078524273382
"SL1344_0567","ybdF","YjbR","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.456655880617088,-0.717914842294722,-0.611529756314166
"SL1344_0568","ramR","Bacterial regulatory proteins, tetR family","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,-0.432788946736073,-0.368655589132289
"SL1344_0569","ramA","Helix-turn-helix domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,-0.248208227880487,-0.211427189087996
"SL1344_0570","ybdJ","Protein of unknown function (DUF1158)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,0.352029782518166,0.299863820102338
"SL1344_0571","ybdK","ATP-dependent carboxylate-amine ligase which exhibits weak glutamate--cysteine ligase activity","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.0818118871153436,-0.0696884929016545
"SL1344_0572","entD","4'-phosphopantetheinyl transferase superfamily","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.0660765422635102,-0.0562849093066928
"SL1344_0573","fepA","TonB-dependent Receptor Plug Domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.999204941602324,0.406589182151745,0.346338268598101
"SL1344_0574","fes","Domain of unknown function (DUF3327)","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.201115179325805,0.171312681335678
"SL1344_0576","entF","Condensation domain","Chromosome","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-liver",0.425815934554787,-0.773278648846319,-0.658689409708299
"SL1344_0577","fepE","Chain length determinant protein","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.602576012447235,0.515613764896339,0.439206910657301
"SL1344_0579","fepG","FecCD transport family","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",1.02e-08,-3.88115554088219,-3.30602177626898
"SL1344_0581","ybdA","Exports the siderophore enterobactin out of the cell","Chromosome","EGP","Amino acid transport and metabolism;Carbohydrate transport and metabolism;Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.722776561757453,-0.358541528514248,-0.305410615080745
"SL1344_0583","entC","chorismate binding enzyme","Chromosome","HQ","Coenzyme transport and metabolism;Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-liver",0.999204941602324,-0.0856573591547992,-0.0729641189796509
"SL1344_0584","entE","AMP-binding enzyme C-terminal domain","Chromosome","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-liver",0.996735938363651,0.00406516428820297,0.00346276296307754
"SL1344_0585","entB","Phosphopantetheine attachment site","Chromosome","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-liver",0.999204941602324,-0.0462958652958068,-0.0394354560663557
"SL1344_0587","ybdB","Required for optimal enterobactin synthesis. Acts as a proofreading enzyme that prevents EntB misacylation by hydrolyzing the thioester bound existing between EntB and wrongly charged molecules","Chromosome","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-liver",0.817228727666563,-0.247753722224845,-0.211040034906938
"SL1344_0588","cstAa","5TM C-terminal transporter carbon starvation CstA","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-liver",0.999204941602324,0.0957486693286148,0.0815600360549392
"SL1344_0590","ybdH","Iron-containing alcohol dehydrogenase","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.999204941602324,0.264843480732996,0.225597326719645
"SL1344_0591","ybdL","Cys/Met metabolism PLP-dependent enzyme","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.756471558420849,0.786244786922069,0.669734144808711
"SL1344_0593","ybdN","Domain of unknown function (DUF3440)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.552652118115622,0.63643210880744,0.54212164100899
"SL1344_0594","ybdO","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.802965840781215,-0.273336537658953,-0.232831829652739
"SL1344_0595","dsbG","Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-liver",0.999204941602324,0.450380655077459,0.38364044873036
"SL1344_0596","ahpC","C-terminal domain of 1-Cys peroxiredoxin","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-liver",0.999204941602324,0.499956168839861,0.425869554557686
"SL1344_0597","ahpF","Thioredoxin domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.999204941602324,-0.06461290418081,-0.0550381622173238
"SL1344_0598","SL1344_0598","Nitrate reductase delta subunit","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.38313151042222,0.788619782848365,0.671757199068758
"SL1344_0599","SL1344_0599","Molydopterin dinucleotide binding domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.617459495136996,-0.505166000219214,-0.430307360723763
"SL1344_0600","SL1344_0600","4Fe-4S dicluster domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.999204941602324,0.181340594633548,0.154468417579525
"SL1344_0603","ybdR","Alcohol dehydrogenase GroES-associated","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.168585677737759,0.143603603591061
"SL1344_0605","rna","Ribonuclease T2 family","Chromosome","J"," Translation, ribosomal structure and biogenesis","Information storage and processing","Phox-liver",0.240645529390074,1.01857334817246,0.867634815022111
"SL1344_0606","citT","Sodium:sulfate symporter transmembrane region","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.362342939606586,-0.308648709436778
"SL1344_0608","citX","Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase","Chromosome","HI","Coenzyme transport and metabolism;Lipid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.00802309991599491,0.00683418707548937
"SL1344_0610","citE","C-C_Bond_Lyase of the TIM-Barrel fold","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.123254994396251,0.104990302814634
"SL1344_0611","citD","Covalent carrier of the coenzyme of citrate lyase","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.999204941602324,0.492926411762311,0.419881510601329
"SL1344_0612","citC","Acetylation of prosthetic group (2-(5''-phosphoribosyl)- 3'-dephosphocoenzyme-A) of the gamma subunit of citrate lyase","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.687663691925124,-0.431704809695133,-0.367732106260229
"SL1344_0613","citA","Single cache domain 3","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-liver",0.979650771482999,0.65089585536892,0.554442059656221
"SL1344_0614","citB","Transcriptional regulator","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.358216344071175,0.854283678212558,0.727690610059889
"SL1344_0615","dcuC","C4-dicarboxylate anaerobic carrier","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.37008092389314,-0.876988450313784,-0.747030847832173
"SL1344_0622","ybeF","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,-0.111515587099288,-0.0949905138972778
"SL1344_0625","dacA","Penicillin-binding protein 5, C-terminal domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.328786885843188,-0.280065200402191
"SL1344_0626","rlpA","Lytic transglycosylase with a strong preference for naked glycan strands that lack stem peptides","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.321884673582198,0.984105295966972,0.83827445314622
"SL1344_0632","cobD","O-2-phosphate, the precursor for the linkage between the nucleotide loop and the corrin ring in cobalamin","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.993633108324448,0.0080140280306795,0.00682645951855725
"SL1344_0638","SL1344_0638","D-galactarate dehydratase / Altronate hydrolase, C terminus","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.669154969021259,0.40674586771773,0.346471735522505
"SL1344_0639","SL1344_0639","The 2-keto-3-deoxygluconate permease transports the degraded pectin products into the bacterial cell, where they serve as carbon and energy sources. This is a hydrogen coupled transport system","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.801549389639429,-0.301704340209438,-0.256995914804421
"SL1344_0640","SL1344_0640","Propionate catabolism activator","Chromosome","KT","Transcription;Signal transduction mechanisms","Information storage and processing;Cellular processes and signaling","Phox-liver",0.576754740195507,-0.558644359886502,-0.475860964478332
"SL1344_0642","ybeQ","conserved hypothetical protein","Chromosome",NA,"no category","no theme","Phox-liver",0.655035931839378,-0.460333345142311,-0.392118287286498
"SL1344_0643","ybeR","Protein of unknown function (DUF1266)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.33036337654604,0.88043012053772,0.749962509958881
"SL1344_0644","ybeS","PFAM heat shock protein DnaJ domain protein","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-liver",0.497981593728704,0.653271309429409,0.556465504161286
"SL1344_0645","ybeU","hypothetical conserved hypothetical protein (pseudogene)","Chromosome",NA,"no category","no theme","Phox-liver",0.167387114263288,1.18502860662435,1.00942369810597
"SL1344_0647","ybeV","PFAM heat shock protein DnaJ domain protein","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-liver",0.999204941602324,0.367520300348829,0.313058856666684
"SL1344_0648","hscC","Heat shock 70 kDa protein","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-liver",0.826264493269203,-0.232284227921036,-0.197862906472493
"SL1344_0649","SL1344_0649","-","Chromosome","-","no category","no theme","Phox-liver",0.972747349381478,0.0414767912053253,0.0353305023440001
"SL1344_0650","rihA","Hydrolyzes cytidine or uridine to ribose and cytosine or uracil, respectively","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.677421843802348,0.416654505187768,0.354912049471287
"SL1344_0653","gltJ","Binding-protein-dependent transport system inner membrane component","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.302790950615536,0.257921504523009
"SL1344_0654","gltI","Bacterial periplasmic substrate-binding proteins","Chromosome","ET","Amino acid transport and metabolism;Signal transduction mechanisms","Metabolism;Cellular processes and signaling","Phox-liver",0.999204941602324,0.329102818380394,0.280334316091277
"SL1344_0659","miaB","Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine","Chromosome","J"," Translation, ribosomal structure and biogenesis","Information storage and processing","Phox-liver",0.999204941602324,-0.49240402966984,-0.419436538335968
"SL1344_0662","asnB","Aluminium induced protein","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.0193725165460307,-0.0165017765682617
"SL1344_0663","nagD","Haloacid dehalogenase-like hydrolase","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.231657551526116,0.197329094883018
"SL1344_0664","nagC","ROK family","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.69658347547499,-0.400022473269843,-0.340744655476105
"SL1344_0666","nagB","Catalyzes the reversible isomerization-deamination of glucosamine 6-phosphate (GlcN6P) to form fructose 6-phosphate (Fru6P) and ammonium ion","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",5.43e-05,-3.04630694814284,-2.59488623985179
"SL1344_0667","nagE","phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.82468059115054,-0.23356877836219,-0.198957104240771
"SL1344_0669","ybfM","outer membrane porin, OprD family","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.435667342232121,0.798756909239596,0.680392143029438
"SL1344_0671","SL1344_0671","Sugar (and other) transporter","Chromosome","EGP","Amino acid transport and metabolism;Carbohydrate transport and metabolism;Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.733787925234775,0.339002110430499,0.28876666948257
"SL1344_0672","SL1344_0672","With CitA (TcuA) catalyzes the oxidation of tricarballylate to cis-aconitate","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.620626003231794,0.475330763093061,0.404893294577681
"SL1344_0673","SL1344_0673","FAD dependent oxidoreductase","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.961250725612982,0.745975386859122,0.635432114878952
"SL1344_0674","SL1344_0674","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,0.1643358752863,0.139983563296007
"SL1344_0677","ybfE","Ribbon-helix-helix protein, copG family","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,0.408623260678142,0.348070924718701
"SL1344_0678","ybfF","PGAP1-like protein","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,-0.410144314575824,-0.349366579390524
"SL1344_0679","seqA","Negative regulator of replication initiation, which contributes to regulation of DNA replication and ensures that replication initiation occurs exactly once per chromosome per cell cycle. Binds to pairs of hemimethylated GATC sequences in the oriC region, thus preventing assembly of replication proteins and re- initiation at newly replicated origins. Repression is relieved when the region becomes fully methylated","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",1.84e-10,-4.00367259816407,-3.41038349408002
"SL1344_0680","pgm","Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",3.24e-17,-5.26068462345066,-4.4811236602123
"SL1344_0681","SL1344_0681","Pyridoxamine 5'-phosphate oxidase","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,0.467758935939995,0.398443507860684
"SL1344_0682","potE","Catalyzes both the uptake and excretion of putrescine. The uptake of putrescine is dependent on the membrane potential and the excretion involves putrescine-ornithine antiporter activity","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.170470588609373,1.10247291335515,0.939101620872006
"SL1344_0683","speF","Orn/Lys/Arg decarboxylase, N-terminal domain","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.901650382836724,0.143953590005613,0.122621651803854
"SL1344_0684","kdpE","Transcriptional regulatory protein, C terminal","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.762972918910531,-0.316005948404437,-0.269178221756641
"SL1344_0685","kdpD","Domain of unknown function (DUF4118)","Chromosome","T","Signal transduction mechanisms","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.251741293289468,-0.214436702892851
"SL1344_0687","kdpB","Part of the high-affinity ATP-driven potassium transport (or Kdp) system, which catalyzes the hydrolysis of ATP coupled with the electrogenic transport of potassium into the cytoplasm. This subunit is responsible for energy coupling to the transport system","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.858700580055162,-0.752528759350317,-0.641014367879554
"SL1344_0691","ybgH","proton-dependent permease that transports dipeptides","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.999204941602324,0.199806620700247,0.170198033065067
"SL1344_0692","ybgI","NIF3 (NGG1p interacting factor 3)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.677421843802348,-0.418112620686568,-0.356154092347582
"SL1344_0693","ybgJ","Pfam:AHS1","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.338420561891641,-0.288271298422799
"SL1344_0694","ybgK","Carboxyltransferase domain, subdomain A and B","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.358883152844779,0.890319336801271,0.758386280656332
"SL1344_0695","ybgL","LamB/YcsF family","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,0.29127120539467,0.248108826789254
"SL1344_0696","SL1344_0696","hypothetical protein","Chromosome",NA,"no category","no theme","Phox-liver",0.730831553042737,-0.354889363940852,-0.302299650966325
"SL1344_0698","SL1344_0698","-","Chromosome","-","no category","no theme","Phox-liver",0.999204941602324,0.553641250448674,0.471599246910899
"SL1344_0699","SL1344_0699","indole-3-glycerol-phosphate synthase activity","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.779407922710338,-0.308356063469273,-0.262661944345132
"SL1344_0703","SL1344_0703","Glycosyl transferase 4-like","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.415206242305499,0.711942726155585,0.606442625484592
"SL1344_0704","SL1344_0704","PFAM ABC-2 type transporter","Chromosome","GM","Carbohydrate transport and metabolism;Cell wall/membrane/envelop biogenesis","Metabolism;Cellular processes and signaling","Phox-liver",0.372510996404584,0.888996708047674,0.757259647256755
"SL1344_0708","SL1344_0708","Hydrolase","Chromosome","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-liver",0.573403360046463,-0.55251604537863,-0.470640781725686
"SL1344_0709","SL1344_0709","conserved hypothetical cytoplasmic protein","Chromosome",NA,"no category","no theme","Phox-liver",0.5937205927083,0.567158657426155,0.483113560458891
"SL1344_0710","nei","Involved in base excision repair of DNA damaged by oxidation or by mutagenic agents. Acts as DNA glycosylase that recognizes and removes damaged bases. Has a preference for oxidized pyrimidines, such as thymine glycol, 5,6-dihydrouracil and 5,6-dihydrothymine. Has AP (apurinic apyrimidinic) lyase activity and introduces nicks in the DNA strand. Cleaves the DNA backbone by beta-delta elimination to generate a single-strand break at the site of the removed base with both 3'- and 5'- phosphates","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",0.337104023507197,0.981410633992313,0.835979102940832
"SL1344_0712","gltA","Citrate synthase, C-terminal domain","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.0544260084046387,-1.53167412246092,-1.30470112564788
"SL1344_0716","sdhA","Fumarate reductase flavoprotein C-term","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",1.93e-13,-4.46601598474606,-3.80421396236539
"SL1344_0717","sdhB","2Fe-2S iron-sulfur cluster binding domain","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",1.8e-06,-3.47945980857011,-2.96385181568137
"SL1344_0720","sucC","Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.0157044336967104,-2.0026101045624,-1.70585088521206
"SL1344_0722","cydA","Cytochrome bd terminal oxidase subunit I","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",6.12e-23,-6.72949692701261,-5.73227822221779
"SL1344_0728","tolR","Biopolymer transport protein ExbD/TolR","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",2.86e-24,-7.24063448338112,-6.16767223676406
"SL1344_0729","tolA","TolA C-terminal","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",2.54e-27,-7.5531195892226,-6.43385135630453
"SL1344_0734","pnuC","Nicotinamide mononucleotide transporter","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.973562944027499,0.0425528394113593,0.0362470950350147
"SL1344_0735","ybgR","Involved in zinc efflux across the cytoplasmic membrane, thus reducing zinc accumulation in the cytoplasm and rendering bacteria more resistant to zinc. It may contribute to zinc homeostasis at low concentrations of zinc","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.827566411602163,0.232457553436,0.198010547534754
"SL1344_0736","ybgS","YbgS-like protein","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.478832694154082,0.695444073399595,0.592388845697657
"SL1344_0738","SL1344_0738","Fumarase C-terminus","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.314131102908737,0.933323134600783,0.795017508261072
"SL1344_0739","SL1344_0739","Fumarate hydratase (Fumerase)","Chromosome","C","Energy production and conversion","Metabolism","Phox-liver",0.58238087255877,-0.524886393038887,-0.447105463096026
"SL1344_0740","SL1344_0740","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.315922565677305,0.94293511857535,0.803205128674204
"SL1344_0741","SL1344_0741","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.260974674792944,-1.23561968678316,-1.05251787738537
"SL1344_0742","SL1344_0742","COG0471 Di- and tricarboxylate transporters","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.192469146152021,1.03152642533202,0.878668424654118
"SL1344_0747","SL1344_0747","FecCD transport family","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.999204941602324,0.0988797492901147,0.0842271331158329
"SL1344_0749","gpmA","Belongs to the phosphoglycerate mutase family. BPG- dependent PGAM subfamily","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.924845285166847,-0.92484489486625,-0.78779562681583
"SL1344_0750","galM","Converts alpha-aldose to the beta-anomer","Chromosome","G","Carbohydrate transport and metabolism","Metabolism","Phox-liver",0.624089940618072,-0.491140226962812,-0.418360013773546
"SL1344_0751","galK","Catalyzes the transfer of the gamma-phosphate of ATP to D-galactose to form alpha-D-galactose-1-phosphate (Gal-1-P)","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.621169640703548,-0.529120860344681
"SL1344_0752","galT","Galactose-1-phosphate uridyl transferase, C-terminal domain","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.45937006697429,-1.01644753362978,-0.865824016898619
"SL1344_0753","galE","Polysaccharide biosynthesis protein","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.0128098633295417,-1.98931731397324,-1.6945279029991
"SL1344_0754","SL1344_0754","Protein of unknown function (DUF2167)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.976124391089112,-0.0395132825357597,-0.0336579585999786
"SL1344_0756","modE","TOBE domain","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.157920389663356,0.134518764230012
"SL1344_0757","ybhT","AcrA-AcrB-AcrZ-TolC is a drug efflux protein complex with a broad substrate specificity. This protein binds to AcrB and is required for efflux of some but not all substrates, suggesting it may influence the specificity of drug export","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.0453965022225072,-0.0386693662063176
"SL1344_0758","modA","Bacterial extracellular solute-binding protein","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.0537956598367856,0.045823884411689
"SL1344_0760","modC","Part of the ABC transporter complex ModABC involved in molybdenum import. Responsible for energy coupling to the transport system","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.363661351925719,0.309771751219372
"SL1344_0761","ybhA","Sucrose-6F-phosphate phosphohydrolase","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,0.209412047192412,0.178380067724319
"SL1344_0762","ybhE","Catalyzes the hydrolysis of 6-phosphogluconolactone to 6-phosphogluconate","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.872080865158249,0.182623672240466,0.155561360767303
"SL1344_0764","hutI","Amidohydrolase family","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.500659896978658,0.67036452654523,0.57102574206367
"SL1344_0766","hutC","UTRA domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,0.489126964527019,0.416645089085791
"SL1344_0767","hutU","Catalyzes the conversion of urocanate to 4-imidazolone- 5-propionate","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.186916053802307,1.05102296159175,0.895275842923636
"SL1344_0768","hutH","Aromatic amino acid lyase","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.268341950629238,0.228577371589985
