"locus_tag","gene_name","gene_function","DNA_molecule","SPI","COG","description","theme","model","DE","logFC","logCPM","F","PValue","FDR","zscore","DE_rec"
"SL1344_2296","nuoB","NADH dehydrogenase I chain B","Chromosome","-","C","Energy production and conversion","Metabolism","Macrophage-SL1344","FDR>0.05",-0.502791969610714,2.28980198935884,2.03883089823707,0.161873525960053,0.524742760664802,-1.83784199676285,"FDR>=0.05"
"SL1344_0567","ybdF","conserved hypothetical protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",-0.0877871812561829,6.89969508097312,2.00650014623888,0.162005693460223,0.524814916060084,-0.320886128342428,"FDR>=0.05"
"SL1344_2747A","SL1344_2747A","hypothetical transposase (pseudogene)","Chromosome","-","L","Replication, recombination and repair ","Information storage and processing","Macrophage-SL1344","FDR>0.05",-0.183097283532629,4.66750673524999,2.00209869499819,0.162459714089994,0.525928904935404,-0.669270588052547,"FDR>=0.05"
"SL1344_1835","ntpA","DATP pyrophosphohydrolase","Chromosome","-","L","Replication, recombination and repair ","Information storage and processing","Macrophage-SL1344","FDR>0.05",0.141378073247643,5.22366782298614,1.99793497856196,0.162889177164273,0.526615997041608,0.516775478011525,"FDR>=0.05"
"SL1344_3634","yiaL","conserved hypothetical protein","Chromosome","-","G","Carbohydrate transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.0770558112899238,7.2122130435831,1.99775307562557,0.16290800108588,0.526615997041608,-0.281660039624144,"FDR>=0.05"
"SL1344_3523","ugpB","glycerol-3-phosphate-binding periplasmic protein","Chromosome","-","G","Carbohydrate transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",0.0749706267691552,7.60152782695345,1.99621719644305,0.163067040307012,0.526615997041608,0.274038120590243,"FDR>=0.05"
"SL1344_2832","hycB","formate hydrogenlyase subunit 2","Chromosome","-","C","Energy production and conversion","Metabolism","Macrophage-SL1344","FDR>0.05",-0.0883220480466288,6.7472798256116,1.99472568828231,0.163221658531655,0.526615997041608,-0.322841212571232,"FDR>=0.05"
"SL1344_3846","yieN","conserved hypothetical protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",0.0658712168064341,8.54032060725656,2.00255737225884,0.163223387564729,0.526615997041608,0.240777291487903,"FDR>=0.05"
"ncRNA0487","StyR-362","non-coding","Chromosome","-","-","no category","no theme","Macrophage-SL1344","FDR>0.05",-0.083869856408673,7.09804428622621,1.99142245434213,0.163564700640953,0.526893201506179,-0.306567235927956,"FDR>=0.05"
"SL1344_2373","SL1344_2373","hypothetical decarboxylase","Chromosome","-","GH","Carbohydrate transport and metabolism;Coenzyme transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",0.0830306322032396,7.18269962118183,1.98993317217389,0.163719638626471,0.526893201506179,0.303499642205964,"FDR>=0.05"
"SL1344_1746","tnpA_1a","transposase","Chromosome","-","L","Replication, recombination and repair ","Information storage and processing","Macrophage-SL1344","FDR>0.05",-0.0968146181289072,6.36709645422634,1.9896885929419,0.16374509990335,0.526893201506179,-0.353883876139919,"FDR>=0.05"
"SL1344_1698","chaB","cation transport regulator ChaB","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",-0.134457701310033,5.39613461018065,1.9896349686327,0.163750682939302,0.526893201506179,-0.491479628139448,"FDR>=0.05"
"SL1344_1125","SL1344_1125","conserved hypothetical protein","Chromosome","-","-","no category","no theme","Macrophage-SL1344","FDR>0.05",-0.144014395824558,5.24856865400171,1.98845992082279,0.163873077611947,0.526931949897,-0.526411957195192,"FDR>=0.05"
"SL1344_0733","nadA","quinolinate synthetase A protein","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.0836518284062079,7.0397494459483,1.98715676997702,0.164008940736204,0.527013924640224,-0.30577028402017,"FDR>=0.05"
"SL1344_4395","SL1344_4395","ornithine carbamoyltransferase","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",0.121408468367098,5.73733017720305,1.9832290638601,0.164419230328516,0.527977017362921,0.443781117070077,"FDR>=0.05"
"SL1344_0779","moaB","molybdenum cofactor biosynthesis protein B","Chromosome","-","H","Coenzyme transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.131222447342396,5.48412004006919,1.98090347385108,0.164662727860864,0.528352598496494,-0.479653891112421,"FDR>=0.05"
"SL1344_2419","eutL","ethanolamine utilization protein EutL","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.116671540297818,5.9849766555668,1.97913282058336,0.164848404316601,0.528352598496494,-0.426466350988773,"FDR>=0.05"
"SL1344_2673","SL1344_2673","hypothetical DNA-invertase","Chromosome","-","L","Replication, recombination and repair ","Information storage and processing","Macrophage-SL1344","FDR>0.05",-0.175900710524555,4.53864109408612,1.97817690466941,0.164948746537987,0.528352598496494,-0.642965147817993,"FDR>=0.05"
"SL1344_3748","SL1344_3748","PTS system, galactitol-specific IIC component","Chromosome","-","G","Carbohydrate transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.0517607943683523,10.4968646619372,1.97750319093137,0.165019508992739,0.528352598496494,-0.189199842928313,"FDR>=0.05"
"SL1344_1627","SL1344_1627","conserved hypothetical protein","Chromosome","-","T","Signal transduction mechanisms","Cellular processes and signaling","Macrophage-SL1344","FDR>0.05",-0.111236115179145,6.24013794002399,1.97784633044218,0.16508944020037,0.528352598496494,-0.406598387383286,"FDR>=0.05"
"SL1344_0653","gltJ","glutamate/aspartate transport system permease protein GltJ","Chromosome","-","P","Inorganic ion transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.160550245188608,5.03029779955833,1.97416235021895,0.16537093396349,0.528855250557174,-0.586855003723809,"FDR>=0.05"
"SL1344_3960","SL1344_3960","conserved hypothetical protein","Chromosome","-","HJ","Coenzyme transport and metabolism;Translation, ribosomal structure and biogenesis","Metabolism;Information storage and processing","Macrophage-SL1344","FDR>0.05",0.0621320535029,8.42301723566406,1.97324096217245,0.165468009284276,0.528855250557174,0.227109628185105,"FDR>=0.05"
"SL1344_2006","cbiT","precorrin-8W decarboxylase","Chromosome","-","H","Coenzyme transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.10846490108822,6.29570090805353,1.97238750415751,0.165603740378188,0.528935023615953,-0.396468842867557,"FDR>=0.05"
"SL1344_0991","sseI","Type III secretion system effector protein, contributes to host-cell dissemination","Chromosome","SPI-2","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Macrophage-SL1344","FDR>0.05",-0.0696747177310293,7.70928152110438,1.96708808058663,0.166117974850733,0.530222814112465,-0.254680126370806,"FDR>=0.05"
"SL1344_3497","SL1344_3497","hypothetical MFS-family membrane transport protein","Chromosome","-","G","Carbohydrate transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.076136637379242,7.37589638812695,1.96492586728628,0.16634709156648,0.530239772057948,-0.278300207889584,"FDR>=0.05"
"SL1344_1296","ydiM","hypothetical MFS-family transport protein","Chromosome","-","EGP","Amino acid transport and metabolism;Carbohydrate transport and metabolism;Inorganic ion transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",0.092033123782473,6.93176889127971,1.96466097850221,0.166375185663966,0.530239772057948,0.336406208141433,"FDR>=0.05"
"SL1344_P2_0013","imm","immunity protein for colicin Ib","pCol1B9","-","-","no category","no theme","Macrophage-SL1344","FDR>0.05",-0.0591062841399334,8.31615069296616,1.96237692485757,0.166617662944311,0.530239772057948,-0.216049614613123,"FDR>=0.05"
"SL1344_4459","SL1344_4459","hypothetical protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",-0.257209306830102,3.63195403382216,1.96186041261105,0.166672553722144,0.530239772057948,-0.94017027840882,"FDR>=0.05"
"SL1344_4416","yjgB","hypothetical alcohol dehydrogenase","Chromosome","-","C","Energy production and conversion","Metabolism","Macrophage-SL1344","FDR>0.05",0.0909264402829911,6.73879384302006,1.96180435225694,0.166678512640624,0.530239772057948,0.332360977637758,"FDR>=0.05"
"SL1344_1200","SL1344_1200","hypothetical regulatory protein","Chromosome","-","K","Transcription","Information storage and processing","Macrophage-SL1344","FDR>0.05",-0.106300120834282,6.20038750274214,1.95638661112012,0.167255568843038,0.531145715650413,-0.388555979685731,"FDR>=0.05"
"SL1344_0626","rlpA","rare lipoprotein A precursor","Chromosome","-","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Macrophage-SL1344","FDR>0.05",-0.0987204097561214,6.53927495608893,1.95452507240781,0.167454385630795,0.531145715650413,-0.360850065143067,"FDR>=0.05"
"ncRNA0015","FnrS","non-coding","Chromosome","-","-","no category","no theme","Macrophage-SL1344","FDR>0.05",0.344444286350631,2.73456207005449,1.95373824369215,0.167538504065042,0.531145715650413,1.25903795856232,"FDR>=0.05"
"SL1344_3550","yhhJ","hypothetical ABC-2 type superfamily transport protein","Chromosome","-","V","Defense mechanisms","Cellular processes and signaling","Macrophage-SL1344","FDR>0.05",0.0770765973644042,7.3991211134292,1.95350167067322,0.167563805339009,0.531145715650413,0.281736018404508,"FDR>=0.05"
"SL1344_4179","yjbN","conserved hypothetical protein","Chromosome","-","J","Translation, ribosomal structure and biogenesis","Information storage and processing","Macrophage-SL1344","FDR>0.05",0.113682143588063,6.00493852260496,1.95116864959216,0.167813559822361,0.531145715650413,0.415539289400208,"FDR>=0.05"
"SL1344_0440","bolA","BolA protein","Chromosome","-","T","Signal transduction mechanisms","Cellular processes and signaling","Macrophage-SL1344","FDR>0.05",-0.134661715192351,5.61936397231646,1.95369527896573,0.167837575453259,0.531145715650413,-0.492225354609854,"FDR>=0.05"
"SL1344_0662","asnB","asparagine synthetase B","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.0742821072627214,7.37738958019576,1.95080480145315,0.167852549791035,0.531145715650413,-0.271521393711144,"FDR>=0.05"
"ncRNA0022","Ig1140","non-coding","Chromosome","-","-","no category","no theme","Macrophage-SL1344","FDR>0.05",-0.231713167586059,3.91970457580306,1.95079901814564,0.167853169616015,0.531145715650413,-0.846974924683709,"FDR>=0.05"
"SL1344_3716","yicJ","sodium:galactoside family symporter","Chromosome","-","G","Carbohydrate transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",0.0742202557331588,7.78798868711902,1.95228455441408,0.168398547237782,0.532518584808218,0.271295309474592,"FDR>=0.05"
"SL1344_3033","ubiH","2-octaprenyl-6-methoxyphenol hydroxylase","Chromosome","-","CH","Energy production and conversion;Coenzyme transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",0.292048068792561,3.33261780433635,1.94284069883627,0.168708649073752,0.533146127946503,1.06751547029684,"FDR>=0.05"
"SL1344_3521","ugpE","sn-Glycerol-3-phosphate transport system permease protein","Chromosome","-","G","Carbohydrate transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",0.0919373161461331,6.6780578131849,1.94164154868016,0.168837994425293,0.53320199959046,0.336056005058809,"FDR>=0.05"
"SL1344_0116","ilvI","acetolactate synthase isozyme III large subunit","Chromosome","-","H","Coenzyme transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.0659553345376671,8.01127318498367,1.93849914407088,0.169177499474306,0.533890073045818,-0.241084764774026,"FDR>=0.05"
"SL1344_0990","SL1344_0990","phage tail fibre (fragment)","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",-0.102713091613789,6.23124680774136,1.93755656942273,0.169279491223323,0.533890073045818,-0.375444408014963,"FDR>=0.05"
"SL1344_1954","SL1344_1954","predicted bacteriophage protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",-0.2240617054548,4.03879847213557,1.93543350750444,0.16950948252858,0.534262560444863,-0.819006740441713,"FDR>=0.05"
"SL1344_0953","SL1344_0953","Phage DNA Replication Protein","Chromosome","-","L","Replication, recombination and repair ","Information storage and processing","Macrophage-SL1344","FDR>0.05",-0.125510807065614,5.76037738290667,1.93332522320471,0.169738235899573,0.53448725065531,-0.458776285650267,"FDR>=0.05"
"SL1344_3587","yhjS","conserved hypothetical protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",-0.0610443202342301,9.06333482919863,1.94085315973209,0.169804640679394,0.53448725065531,-0.223133665951688,"FDR>=0.05"
"SL1344_3449","gph","phosphoglycolate phosphatase","Chromosome","-","F","Nucleotide transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",0.0859430341643919,6.90543252126773,1.93098021820711,0.169993099698839,0.534543763718768,0.314145266955708,"FDR>=0.05"
"SL1344_1414","SL1344_1414","hypothetical secreted protein","Chromosome","-","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Macrophage-SL1344","FDR>0.05",-0.120570494732202,5.63110254141668,1.93048952051859,0.170046487348442,0.534543763718768,-0.440718094525019,"FDR>=0.05"
"SL1344_0447","comE1","competence gene-DNA binding and transport","Chromosome","-","L","Replication, recombination and repair ","Information storage and processing","Macrophage-SL1344","FDR>0.05",-0.120191160435267,5.62599000534848,1.92244074004988,0.170925006346537,0.536724000572019,-0.439331524046856,"FDR>=0.05"
"SL1344_0300","sinR","LysR-family transcriptional regulator (SPI-6 associated)","Chromosome","SPI-6","K","Transcription","Information storage and processing","Macrophage-SL1344","FDR>0.05",-0.0678880251208923,7.81422714399358,1.92207676611339,0.170964859658647,0.536724000572019,-0.24814927680939,"FDR>=0.05"
"SL1344_2300","yfbQ","hypothetical aminotransferase","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.079038732622586,7.21302019210729,1.91641980228634,0.171585674231823,0.537442672980437,-0.288908158770249,"FDR>=0.05"
"SL1344_1763","yebN","hypothetical membrane protein","Chromosome","-","P","Inorganic ion transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.172424094719133,4.66284403042714,1.91545584833843,0.171691725789002,0.537442672980437,-0.630257167340976,"FDR>=0.05"
"SL1344_0971","SL1344_0971","predicted bacteriophage protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",-0.0817153028380144,7.02436154122825,1.91459284158044,0.171786736775128,0.537442672980437,-0.298691754067142,"FDR>=0.05"
"SL1344_P1_0033","traY","conjugative transfer oriT nicking protein","pSLT","-","-","no category","no theme","Macrophage-SL1344","FDR>0.05",-0.105077093195273,6.36528399443327,1.91263608686804,0.172002390735478,0.537442672980437,-0.38408547957032,"FDR>=0.05"
"SL1344_4303","yjfI","conserved hypothetical protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",-0.128574580746693,5.86166981209796,1.91851413779422,0.172042688869918,0.537442672980437,-0.469975215386601,"FDR>=0.05"
"SL1344_0111","leuC","3-isopropylmalate dehydratase large subunit","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.075486298869913,7.29328428468954,1.91220945288755,0.172049452317575,0.537442672980437,-0.275923042984818,"FDR>=0.05"
"SL1344_P2_0082","shfB2","shufflon protein B","pCol1B9","-","-","no category","no theme","Macrophage-SL1344","FDR>0.05",-0.0555387835485639,8.83234900586992,1.91218111214357,0.172052579093777,0.537442672980437,-0.203009425416443,"FDR>=0.05"
"SL1344_0856","potH","putrescine transport system permease protein PotH","Chromosome","-","P","Inorganic ion transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.131400153992274,5.50856175759505,1.91043774043684,0.172245050235162,0.537442672980437,-0.480303457461905,"FDR>=0.05"
"SL1344_2157","SL1344_2157","hypothetical transcriptional regulator","Chromosome","-","K","Transcription","Information storage and processing","Macrophage-SL1344","FDR>0.05",-0.087076912086852,6.97516106578972,1.91030046868917,0.172260216012542,0.537442672980437,-0.318289900504078,"FDR>=0.05"
"SL1344_1197","SL1344_1197","conserved hypothetical protein","Chromosome","-","C","Energy production and conversion","Metabolism","Macrophage-SL1344","FDR>0.05",-0.212149613988171,4.21134890729164,1.90933008249696,0.172367469030341,0.537442672980437,-0.775464792101525,"FDR>=0.05"
"SL1344_2409","SL1344_2409","conserved hypothetical protein","Chromosome","-","P","Inorganic ion transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.127253481560012,5.47907265588521,1.90764193402935,0.172554240703467,0.537442672980437,-0.465146236974214,"FDR>=0.05"
"SL1344_2404","cysA","sulphate transport ATP-binding protein CysA","Chromosome","-","P","Inorganic ion transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",0.127972354729331,5.48992259729489,1.90729706420312,0.172592425333786,0.537442672980437,0.467773914782878,"FDR>=0.05"
"SL1344_0042","SL1344_0042","hypothetical glycosyl hydrolase","Chromosome","-","G","Carbohydrate transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",0.0742341701474355,7.36423607761821,1.90671426993616,0.172656975989946,0.537442672980437,0.271346170459778,"FDR>=0.05"
"SL1344_3543","yhhP","conserved hypothetical protein","Chromosome","-","J","Translation, ribosomal structure and biogenesis","Information storage and processing","Macrophage-SL1344","FDR>0.05",0.460383681110121,1.8522014917194,1.90158047095849,0.173226827280506,0.537691338621644,1.68282811760808,"FDR>=0.05"
"SL1344_3313","sspB","stringent starvation protein B","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",0.113508688033838,6.13644860150667,1.90235237515784,0.173330015515865,0.537691338621644,0.414905261966609,"FDR>=0.05"
"SL1344_3282","yrbC","possible exported protein","Chromosome","-","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Macrophage-SL1344","FDR>0.05",0.0924373812771239,6.54813885878828,1.89989953011919,0.173413892227101,0.537691338621644,0.337883879715525,"FDR>=0.05"
"SL1344_2148","yohD","hypothetical membrane protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",-0.192103599938986,4.57449578565564,1.9050361058804,0.173544964634753,0.537691338621644,-0.702191134775982,"FDR>=0.05"
"SL1344_0609","citF","citrate lyase alpha chain","Chromosome","-","H","Coenzyme transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.0852471199087952,7.02030779422265,1.89807008598033,0.173617753689364,0.537691338621644,-0.311601510248393,"FDR>=0.05"
"SL1344_1718","hyaE","hydrogenase-1 operon protein HyaE","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",-0.100509374942949,6.2229653665399,1.89801986435138,0.173623354040181,0.537691338621644,-0.367389221593088,"FDR>=0.05"
"ncRNA0223","STnc1130","non-coding","Chromosome","-","-","no category","no theme","Macrophage-SL1344","FDR>0.05",0.30099712246584,3.13351121827011,1.89711693656729,0.173724078262315,0.537691338621644,1.10022670608839,"FDR>=0.05"
"SL1344_1455","yneH","probable glutaminase","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",0.0974254371301578,6.37939867196984,1.89700589861825,0.173736469616814,0.537691338621644,0.356116586447103,"FDR>=0.05"
"SL1344_1679","ychE","hypothetical membrane protein","Chromosome","-","U","Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Macrophage-SL1344","FDR>0.05",-0.13251204757794,5.36512070970605,1.89688187721877,0.173750311098052,0.537691338621644,-0.484367732253824,"FDR>=0.05"
"SL1344_P2_0078","traF","conjugal transfer protein","pCol1B9","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",-0.0508082259135454,10.776854205357,1.89423939026144,0.174045536101146,0.538256110675501,-0.185717945012578,"FDR>=0.05"
"SL1344_1775","proQ","ProP effector","Chromosome","-","J","Translation, ribosomal structure and biogenesis","Information storage and processing","Macrophage-SL1344","FDR>0.05",0.149854766598953,5.47309055810078,1.91079733394785,0.174229286357409,0.538294796735678,0.547760107791471,"FDR>=0.05"
"SL1344_1423","SL1344_1423","hypothetical ABC transporter periplasmic binding protein","Chromosome","-","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Macrophage-SL1344","FDR>0.05",0.125616579143451,5.4694786403905,1.89211319050138,0.174283509058295,0.538294796735678,0.459162911488552,"FDR>=0.05"
"SL1344_0121","ftsL","cell division protein FtsL","Chromosome","-","D","Cell cycle control, cell division, chromosome partitioning","Cellular processes and signaling","Macrophage-SL1344","FDR>0.05",-0.389408378641764,2.4769893878669,1.89061443516318,0.174451486098608,0.538465317466616,-1.42339399874121,"FDR>=0.05"
"SL1344_0563","manY","mannose specific permease","Chromosome","-","G","Carbohydrate transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.182464041160869,5.35161208743021,1.9536537597619,0.174717621763172,0.538512117222484,-0.666955914200752,"FDR>=0.05"
"SL1344_4363","iolG2","Myo-inositol metabolism","Chromosome","-","E","Amino acid transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.0653075289371425,7.77619673327624,1.8880553274288,0.174738745905714,0.538512117222484,-0.238716858342855,"FDR>=0.05"
"SL1344_0552","ykgC","probable pyridine nucleotide-disulfide oxidoreductase","Chromosome","-","C","Energy production and conversion","Metabolism","Macrophage-SL1344","FDR>0.05",-0.0725348796593582,7.49870330645572,1.88713558481853,0.174842123069809,0.538512117222484,-0.265134799530154,"FDR>=0.05"
"SL1344_2814","slrB","PTS system, glucitol/sorbitol-specific IIA component","Chromosome","-","G","Carbohydrate transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.209608869706146,4.20424418602309,1.88646307065616,0.174917757866403,0.538512117222484,-0.766177677694833,"FDR>=0.05"
"SL1344_2519","cadC","transcriptional activator cadC","Chromosome","-","K","Transcription","Information storage and processing","Macrophage-SL1344","FDR>0.05",-0.0532065448622035,9.51081422077299,1.88310260285201,0.175296273349854,0.539303513303261,-0.194484455919442,"FDR>=0.05"
"SL1344_2856","hilA","invasion protein regulator","Chromosome","SPI-1","K","Transcription","Information storage and processing","Macrophage-SL1344","FDR>0.05",0.0586469067537666,8.58684082462304,1.88217698019409,0.175400702860725,0.539303513303261,0.214370464778422,"FDR>=0.05"
"SL1344_1630","ycjE","conserved hypothetical protein","Chromosome","-","-","no category","no theme","Macrophage-SL1344","FDR>0.05",0.0776800522148402,7.30196169907927,1.88061556937356,0.17557702870663,0.53949827031799,0.283941810728797,"FDR>=0.05"
"SL1344_2768","tctE","hypothetical two-component system sensor kinase","Chromosome","-","T","Signal transduction mechanisms","Cellular processes and signaling","Macrophage-SL1344","FDR>0.05",-0.0817086496144384,6.95747863143098,1.87675430183875,0.176013968974646,0.539863577557348,-0.298667434717509,"FDR>=0.05"
"SL1344_3303","gltD","glutamate synthase (NADPH) small chain","Chromosome","-","C","Energy production and conversion","Metabolism","Macrophage-SL1344","FDR>0.05",0.0713621899906886,7.4945760886002,1.87619021768629,0.176077907877775,0.539863577557348,0.260848298447172,"FDR>=0.05"
"SL1344_2252","glpT","glycerol-3-phosphate transporter","Chromosome","-","G","Carbohydrate transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",0.0677588471375479,7.815301547313,1.87577793386552,0.17612465754475,0.539863577557348,0.247677095992677,"FDR>=0.05"
"ncRNA0210","STnc925","non-coding","Chromosome","-","-","no category","no theme","Macrophage-SL1344","FDR>0.05",0.2081417093048,4.19593213427867,1.87356920041556,0.176375359508256,0.539863577557348,0.760814805643259,"FDR>=0.05"
"SL1344_0947","SL1344_0947","predicted bacteriophage protein","Chromosome","-","-","no category","no theme","Macrophage-SL1344","FDR>0.05",0.0945512015738671,6.54972116380845,1.87331360442389,0.176404398050255,0.539863577557348,0.345610470333057,"FDR>=0.05"
"SL1344_0256","gloB","probable hydroxyacylglutathione hydrolase","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",-0.101148368273268,6.1018195618368,1.87165209055213,0.176593301984865,0.539863577557348,-0.369724916769406,"FDR>=0.05"
"ncRNA0478","StyR-322","non-coding","Chromosome","-","-","no category","no theme","Macrophage-SL1344","FDR>0.05",-0.390555878716162,2.20758395341036,1.87111650123159,0.176654246046729,0.539863577557348,-1.42758842497608,"FDR>=0.05"
"ncRNA0256","STnc1600","non-coding","Chromosome","-","-","no category","no theme","Macrophage-SL1344","FDR>0.05",0.315130915085306,3.10544585479975,1.87082528729055,0.17668739334045,0.539863577557348,1.15188957904498,"FDR>=0.05"
"SL1344_0156","SL1344_0156","probable secreted protein","Chromosome","-","N","Cell motility","Cellular processes and signaling","Macrophage-SL1344","FDR>0.05",-0.190195246542234,4.46222175470701,1.87059632476823,0.17671346004652,0.539863577557348,-0.695215581805373,"FDR>=0.05"
"SL1344_4212","SL1344_4212","hypothetical protein","Chromosome","-","-","no category","no theme","Macrophage-SL1344","FDR>0.05",-0.50964616618083,1.81841640168596,1.86803156999029,0.177190228189079,0.540551194621965,-1.86289595758959,"FDR>=0.05"
"SL1344_0593","ybdN","conserved hypothetical protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",-0.0576792316866709,8.53966489844091,1.86576685214074,0.177264339717692,0.540551194621965,-0.210833348068094,"FDR>=0.05"
"SL1344_2984","ygdQ","hypothetical membrane protein","Chromosome","-","P","Inorganic ion transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.0706556032008355,7.41624859890896,1.86491085165899,0.177362191722755,0.540551194621965,-0.25826553071173,"FDR>=0.05"
"SL1344_2443","narQ","nitrate/nitrite sensor protein NarQ","Chromosome","-","T","Signal transduction mechanisms","Cellular processes and signaling","Macrophage-SL1344","FDR>0.05",-0.0693102028804137,7.69074349902655,1.86465583836185,0.177391355386936,0.540551194621965,-0.253347725017173,"FDR>=0.05"
"SL1344_3001","yohL","conserved hypothetical protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",0.0777792373957722,7.05355147130705,1.86129083367115,0.177776712421753,0.541379975646601,0.28430435965955,"FDR>=0.05"
"SL1344_2994","araE","arabinose-proton symporter","Chromosome","-","EGP","Amino acid transport and metabolism;Carbohydrate transport and metabolism;Inorganic ion transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.069918946584371,7.56702632789631,1.85956151709175,0.177975136428023,0.541638799518043,-0.25557284954584,"FDR>=0.05"
"SL1344_2584","SL1344_2584","hypothetical damage-inducible protein","Chromosome","-","S","Function Unknown","Poorly characterised","Macrophage-SL1344","FDR>0.05",-0.0932554243171722,6.5686802835598,1.8514638624315,0.178907758350488,0.54392259203472,-0.340874050491968,"FDR>=0.05"
"SL1344_1680","adh","alcohol dehydrogenase","Chromosome","-","C","Energy production and conversion","Metabolism","Macrophage-SL1344","FDR>0.05",0.0704501747838216,7.45819735033989,1.84909323330614,0.179181879716875,0.54392259203472,0.257514633730601,"FDR>=0.05"
"ncRNA0325","STnc3500","non-coding","Chromosome","-","-","no category","no theme","Macrophage-SL1344","FDR>0.05",0.225914292500787,3.95355798559334,1.84887304388406,0.179207365912358,0.54392259203472,0.825778452166564,"FDR>=0.05"
"SL1344_2618","kgtP","alpha-ketoglutarate permease","Chromosome","-","EGP","Amino acid transport and metabolism;Carbohydrate transport and metabolism;Inorganic ion transport and metabolism","Metabolism","Macrophage-SL1344","FDR>0.05",-0.110271077565541,5.99299938515948,1.84857650817243,0.179241695707247,0.54392259203472,-0.403070911285944,"FDR>=0.05"
