locus_tag,gene_name,start,end,strand,read_count,ins_index,gene_length,ins_count,function,call
STMMW_06071,STMMW_06071,640196,640633,-1,248,0.187214611872146,438,82,putative exported protein,not required
STMMW_06081,ybcI,640626,641171,-1,204,0.128205128205128,546,70,putative membrane protein,not required
STMMW_06091,ybcJ,641299,641511,-1,161,0.234741784037559,213,50,conserved hypothetical protein,not required
STMMW_06101,folD,641513,642379,-1,9,0.0069204152249135,867,6,FolD bifunctional protein [includes: methylenetetrahydrofolate dehydrogenase,required
STMMW_06111,fimA,642926,643483,1,667,0.362007168458781,558,202,"type-1 fimbrial protein, a chain precursor",not required
STMMW_06121,fimI,643559,644092,1,361,0.174157303370787,534,93,major pilin protein,not required
STMMW_06131,fimC,644136,644828,1,502,0.255411255411255,693,177,fimbrial chaperone protein,not required
STMMW_06141,fimD,644859,647471,1,1643,0.190585533869116,2613,498,outer membrane usher protein FimD precursor,not required
STMMW_06151,fimH,647486,648493,1,470,0.193452380952381,1008,195,FimH protein precursor,not required
STMMW_06161,fimF,648503,649021,1,302,0.171483622350674,519,89,putative fimbrial protein,not required
STMMW_06171,fimZ,649067,649699,-1,139,0.0742496050552923,633,47,probable transcriptional regulator (FimXZ protein),ambiguous
STMMW_06181,fimY,650303,651025,-1,821,0.344398340248963,723,249,fimbriae Y protein,not required
STMMW_06191,STMMW_06191,651044,651355,-1,113,0.131410256410256,312,41,hypothetical protein,not required
STMMW_06201,fimW,651517,652113,-1,237,0.192629815745394,597,115,fimbriae w protein,not required
STMMW_06211,STMMW_06211,652585,652875,-1,225,0.278350515463918,291,81,,not required
STMMW_06221,STMMW_06221,653010,653228,-1,683,0.296803652968037,219,65,transposase,not required
STMMW_06231,STMMW_06231,653615,655267,-1,207,0.0719903206291591,1653,119,,ambiguous
STMMW_06241,gtrBa,655248,656174,-1,564,0.237324703344121,927,220,bactoprenol glucosyl transferase,not required
STMMW_06251,gtrAa,656171,656533,-1,486,0.308539944903581,363,112,bactoprenol-linked glucose translocase,not required
STMMW_06261,STMMW_06261,657401,657730,-1,364,0.387878787878788,330,128,,not required
STMMW_06271,cusA,657779,658018,1,103,0.120833333333333,240,29,,not required
STMMW_06281,ykgD,658069,658923,-1,635,0.170760233918129,855,146,hypothetical araC-family transcriptional regulator,not required
STMMW_06291,ykgC,659139,660464,1,883,0.196078431372549,1326,260,probable pyridine nucleotide-disulfide oxidoreductase,not required
STMMW_06301,STMMW_06301,660621,660857,1,83,0.177215189873418,237,42,hypothetical secreted protein,not required
STMMW_06311,ykgB,660870,661430,1,473,0.324420677361854,561,182,putative membrane protein,not required
STMMW_06321,STMMW_06321,661509,662684,-1,345,0.10969387755102,1176,129,conserved hypothetical protein,not required
STMMW_06331,pheP,663010,664404,1,673,0.154121863799283,1395,215,phenylalanine-specific permease,not required
STMMW_06341,ybdG,664446,665693,-1,1389,0.338141025641026,1248,422,putative membrane protein,not required
STMMW_06351,apeE,666004,667974,1,1208,0.204464738711314,1971,403,outer membrane esterase,not required
STMMW_06361,STMMW_06361,668141,670870,1,1539,0.171062271062271,2730,467,similar to lmo0785 protein (sigma 54-associated activator),not required
STMMW_06371,STMMW_06371,670998,671984,-1,673,0.214792299898683,987,212,similar to a putative phospohtase isomerase,not required
STMMW_06381,STMMW_06381,672051,673094,-1,475,0.176245210727969,1044,184,Putative GTP Binding protein,not required
STMMW_06391,STMMW_06391,673127,673981,-1,384,0.177777777777778,855,152,putative mannose specific permease,not required
STMMW_06401,STMMW_06401,673984,674658,-1,282,0.128888888888889,675,87,putative mannose specific permease,not required
STMMW_06411,STMMW_06411,674742,675212,-1,160,0.13588110403397,471,64,putative mannose specific permease,not required
STMMW_06421,STMMW_06421,675190,675639,-1,162,0.148888888888889,450,67,putative protein,not required
STMMW_06431,nfnB,675839,676492,-1,298,0.18960244648318,654,124,oxygen-insensitive NAD(P)H nitroreductase,not required
STMMW_06441,ybdF,676589,676957,-1,221,0.18970189701897,369,70,conserved hypothetical protein,not required
STMMW_06451,ramR,676957,677538,-1,438,0.238831615120275,582,139,putative TetR-family transcriptional regulator,not required
STMMW_06461,ramA,677827,678168,1,178,0.160818713450292,342,55,transcriptional activator RamA,not required
STMMW_06472,ybdJ,678174,678422,-1,159,0.120481927710843,249,30,putative membrane protein,not required
STMMW_06481,ybdK,678489,679607,-1,484,0.161751563896336,1119,181,conserved hypothetical protein,not required
STMMW_06491,entD,679619,680323,-1,259,0.129078014184397,705,91,enterobactin synthetase component D,not required
STMMW_06501,fepA,680369,682624,-1,1310,0.17863475177305,2256,403,ferrienterobactin receptor precursor,not required
STMMW_06511,fes,682813,684027,1,484,0.0938271604938272,1215,114,enterochelin esterase,not required
STMMW_06521,ybdZ,684058,684276,1,62,0.0958904109589041,219,21,conserved hypothetical protein,not required
STMMW_06531,entF,684273,688157,1,875,0.0918918918918919,3885,357,enterobactin synthetase component F,not required
STMMW_06541,fepE,688407,689543,1,882,0.227792436235708,1137,259,ferric enterobactin transport protein,not required
STMMW_06551,fepC,689596,690390,-1,14,0.0113207547169811,795,9,ferric enterobactin transport ATP-binding protein FepC,required
STMMW_06561,fepG,690387,691376,-1,38,0.0181818181818182,990,18,ferric enterobactin transport protein FepG,required
STMMW_06571,fepD,691376,692383,-1,20,0.0128968253968254,1008,13,ferric enterobactin transport protein FepD,required
STMMW_06581,ybdA,692494,693738,1,553,0.15421686746988,1245,192,hypothetical membrane protein p43,not required
STMMW_06591,fepB,693801,694757,-1,15,0.0135841170323929,957,13,ferrienterobactin-binding periplasmic protein precursor,required
STMMW_06601,entC,695066,696241,1,423,0.121598639455782,1176,143,isochorismate synthase EntC,not required
STMMW_06611,entE,696251,697861,1,433,0.103041589075109,1611,166,"2,3-dihydroxybenzoate-AMP ligase",not required
STMMW_06621,entB,697875,698732,1,377,0.142191142191142,858,122,isochorismatase,not required
STMMW_06631,entA,698732,699487,1,236,0.119047619047619,756,90,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",not required
STMMW_06641,ybdB,699490,699903,1,216,0.140096618357488,414,58,conserved hypothetical protein,not required
STMMW_06651,cstAa,700085,702190,1,1200,0.194681861348528,2106,410,carbon starvation protein A,not required
STMMW_06661,ybdD,702254,702451,1,67,0.116161616161616,198,23,conserved hypothetical protein,not required
STMMW_06671,ybdH,702487,703575,-1,738,0.213039485766758,1089,232,putative oxidoreductase,not required
STMMW_06681,ybdL,703702,704862,1,372,0.140396210163652,1161,163,putative aminotransferase,not required
STMMW_06691,ybdM,704863,705480,-1,296,0.150485436893204,618,93,conserved hypothetical protein,not required
STMMW_06701,ybdN,705453,706688,-1,741,0.187702265372168,1236,232,conserved hypothetical protein,not required
STMMW_06711,ybdO,706854,707756,-1,161,0.116279069767442,903,105,putative LysR-family transcriptional regulator,not required
STMMW_06721,dsbG,708073,708819,-1,204,0.137884872824632,747,103,thiol:disulfide interchange protein DsbG precursor,not required
STMMW_06731,ahpC,709260,709823,1,279,0.134751773049645,564,76,alkyl hydroperoxide reductase C22 protein,not required
STMMW_06741,ahpF,710065,711630,1,886,0.173052362707535,1566,271,alkyl hydroperoxide reductase F52A protein (subunit F),not required
STMMW_06751,STMMW_06751,711962,712522,1,156,0.144385026737968,561,81,conserved hypothetical protein,not required
STMMW_06761,STMMW_06761,712515,714794,1,1421,0.219736842105263,2280,501,molybdopterin-containing oxidoreductase catalytic subunit,not required
STMMW_06771,STMMW_06771,714791,715348,1,504,0.229390681003584,558,128,molybdopterin-containing oxidoreductase iron- sulfur subunit,not required
STMMW_06781,STMMW_06781,715348,716115,1,625,0.255208333333333,768,196,molybdopterin-containing oxidoreductase membrane anchor subunit,not required
STMMW_06791,ybdQ,716183,716611,-1,520,0.344988344988345,429,148,conserved hypothetical protein,not required
STMMW_06801,ybdR,716834,718072,1,758,0.175141242937853,1239,217,hypothetical zinc-dependant alcohol dehydrogenase,not required
STMMW_06811,rnk,718155,718565,-1,289,0.175182481751825,411,72,regulator of nucleoside diphosphate kinase,not required
STMMW_06821,rna,718800,719606,-1,425,0.179677819083024,807,145,ribonuclease I precursor,not required
STMMW_06831,citT,719716,721179,-1,1310,0.272540983606557,1464,399,citrate carrier,not required
STMMW_06841,citG,721217,722113,-1,697,0.211817168338907,897,190,citg protein,not required
STMMW_06851,citX,722085,722636,-1,518,0.260869565217391,552,144,probable apo-citrate lyase phosphoribosyl- dephospho-coa transferase (ec 2.7.7.61) (holo-acp synthase) (holo-citrate lyase synthase) (apo-acp nucleodityltransferase),not required
STMMW_06861,citF,722640,724169,-1,1174,0.213071895424837,1530,326,citrate lyase alpha chain,not required
STMMW_06871,citE,724179,725087,-1,366,0.151815181518152,909,138,citrate lyase beta chain,not required
STMMW_06881,citD,725084,725380,-1,235,0.222222222222222,297,66,citrate lyase acyl carrier protein,not required
STMMW_06891,citC,725377,726453,-1,1008,0.192200557103064,1077,207,[citrate (PRO-3S)-lyase] ligase,not required
STMMW_06901,citA,726838,728499,1,1054,0.203369434416366,1662,338,twp component sensor kinase DpiB,not required
STMMW_06911,citB,728468,729148,1,482,0.261380323054332,681,178,transcriptional regulator,not required
STMMW_06921,dcuC,729202,730455,-1,971,0.201754385964912,1254,253,C4-dicarboxylate anaerobic carrier,not required
STMMW_06931,pagP,730966,731538,1,592,0.368237347294939,573,211,antimicrobial peptide resistance and lipid A acylation protein,not required
STMMW_06941,cspE,731726,731935,1,277,0.338095238095238,210,71,cold shock-like protein cspE,not required
STMMW_06951,ccrB,731993,732376,-1,30,0.046875,384,18,putative membrane protein,required
STMMW_06961,ybeM,732467,733255,1,207,0.102661596958175,789,81,possible hydrolase,not required
STMMW_06971,tatE,733384,733587,1,79,0.132352941176471,204,27,Sec-independent protein translocase protein,not required
STMMW_06981,lipA,733673,734638,-1,13,0.0041407867494824,966,4,lipoic acid synthetase,required
STMMW_06991,ybeF,734844,735797,-1,459,0.161425576519916,954,154,LysR-family transcriptional regulator,not required
STMMW_07001,lipB,736099,736674,-1,6,0.00868055555555556,576,5,lipoate-protein ligase B (lipoate biosynthesis protein B),required
STMMW_07011,ybeD,736840,737103,-1,11,0.0303030303030303,264,8,conserved hypothetical protein,required
STMMW_07021,dacA,737212,738423,-1,302,0.110561056105611,1212,134,D-alanine carboxypeptidase,not required
STMMW_07031,rlpA,738563,739708,-1,642,0.180628272251309,1146,207,rare lipoprotein A precursor,not required
STMMW_07041,mrdB,739719,740831,-1,15,0.00808625336927224,1113,9,rod shape-determining protein RodA,required
STMMW_07051,mrdA,740834,742735,-1,22,0.00736067297581493,1902,14,penicillin-binding protein,required
STMMW_07061,ybeA,742766,743233,-1,249,0.230769230769231,468,108,conserved hypothetical protein,not required
STMMW_07071,ybeB,743237,743554,-1,149,0.229559748427673,318,73,conserved hypothetical protein,not required
STMMW_07081,cobC,743883,744491,-1,864,0.182266009852217,609,111,alpha-ribazole-5'-phosphate phosphatase,not required
STMMW_07091,cobD,744588,745682,1,579,0.17351598173516,1095,190,putative aminotransferase CobD,not required
STMMW_07101,nadD,745657,746298,-1,75,0.0327102803738318,642,21,conserved hypothetical protein,required
STMMW_07111,holA,746300,747331,-1,48,0.0184108527131783,1032,19,"DNA polymerase III, delta subunit",required
STMMW_07121,rlpB,747331,747921,-1,12,0.00338409475465313,591,2,rare lipoprotein B precursor,required
STMMW_07131,leuS,747936,750518,-1,139,0.00580720092915215,2583,15,leucyl-tRNA synthetase,required
STMMW_07141,STMMW_07141,750755,751096,1,81,0.0935672514619883,342,32,putative hydrolase N-terminus,not required
STMMW_07151,STMMW_07151,751113,752285,1,1008,0.248934356351236,1173,292,putative hydrolase C-terminus,not required
STMMW_07161,STMMW_07161,752404,753288,1,928,0.337853107344633,885,299,probable permease,not required
STMMW_07171,STMMW_07171,753356,755284,1,2005,0.314670813893209,1929,607,putative sigma-54 dependent transcriptional regulator,not required
STMMW_07181,ybeL,755377,755850,1,262,0.20253164556962,474,96,conserved hypothetical protein,not required
STMMW_07191,ybeQ,755889,756884,-1,1712,0.369477911646586,996,368,conserved hypothetical protein,not required
STMMW_07201,ybeR,757009,757716,1,606,0.28954802259887,708,205,conserved hypothetical protein,not required
STMMW_07211,ybeS,757713,759146,1,1274,0.258716875871688,1434,371,putative membrane protein,not required
STMMW_07221,ybeU,759158,759851,1,725,0.337175792507205,694,234,putative conserved hypothetical protein (pseudogene),not required
STMMW_07231,ybeV,759851,761323,1,1280,0.258655804480652,1473,381,,not required
STMMW_07241,hscC,761345,763024,-1,1408,0.230357142857143,1680,387,chaperone heat shock protein,not required
STMMW_07251,STMMW_07251,763100,764338,-1,495,0.167070217917676,1239,207,putative conserved hypothetical protein,not required
STMMW_07261,rihA,764370,765305,-1,472,0.157051282051282,936,147,probable nucleoside hydrolase,not required
STMMW_07271,gltL,765422,766147,-1,521,0.216253443526171,726,157,glutamate/aspartate transport ATP-binding protein GltL,not required
STMMW_07281,gltK,766147,766821,-1,331,0.16,675,108,glutamate/aspartate transport system permease protein GltK,not required
STMMW_07291,gltJ,766821,767561,-1,450,0.215924426450742,741,160,glutamate/aspartate transport system permease protein GltJ,not required
STMMW_07301,gltI,767721,768647,-1,380,0.149946062567422,927,139,ABC transporter periplasmic binding protein (glutamate/aspartate?),not required
STMMW_07311,lnt,768984,770522,-1,33,0.0110461338531514,1539,17,apolipoprotein N-acyltransferase,required
STMMW_07321,ybeX,770542,771420,-1,95,0.0625711035267349,879,55,haemolysin-related protein,ambiguous
STMMW_07331,ybeY,771578,772051,-1,65,0.0485232067510548,474,23,conserved hypothetical protein,required
STMMW_07341,phoL,772048,773133,-1,185,0.0718232044198895,1086,78,PhoH-like ATP-binding protein,ambiguous
STMMW_07351,miaB,773299,774723,-1,1275,0.247017543859649,1425,352,MiaB protein (putative tRNA-thiotransferase (or tRNA-methylthiotransferase)),not required
STMMW_07361,ubiF,774867,776042,1,15,0.00935374149659864,1176,11,putative monooxygenase,required
STMMW_07371,STMMW_07371,776109,776684,-1,217,0.133680555555556,576,77,putative exported protein,not required
STMMW_07381,asnB,777751,779415,-1,1249,0.23003003003003,1665,383,asparagine synthetase B,not required
STMMW_07391,nagD,779705,780457,-1,483,0.215139442231076,753,162,NagD protein,not required
STMMW_07401,nagC,780504,781724,-1,533,0.15970515970516,1221,195,N-acetylglucosamine repressor,not required
STMMW_07411,nagA,781729,782883,-1,244,0.112554112554113,1155,130,N-acetylglucosamine-6-phosphate deacetylase,not required
STMMW_07421,nagB,782943,783743,-1,485,0.181023720349563,801,145,Glucosamine-6-phosphate deaminase,not required
STMMW_07431,nagE,784070,786022,1,1312,0.194572452636969,1953,380,"PTS system, N-acetylglucosamine-specific IIABC component",not required
STMMW_07441,glnS,786233,787900,1,19,0.0065947242206235,1668,11,glutaminyl-tRNA synthetase,required
STMMW_07451,ybfM,788346,789752,1,1068,0.277896233120114,1407,391,putative outer membrane protein,not required
STMMW_07461,ybfN,789802,790134,1,287,0.276276276276276,333,92,putative lipoprotein,not required
STMMW_07471,STMMW_07471,790183,791487,-1,1167,0.26360153256705,1305,344,citrate-proton symporter,not required
STMMW_07481,STMMW_07481,791538,792677,-1,911,0.223684210526316,1140,255,citrate utilization protein B,not required
STMMW_07491,STMMW_07491,792664,794067,-1,1045,0.231481481481481,1404,325,conserved hypothetical protein,not required
STMMW_07501,STMMW_07501,794165,795091,-1,648,0.19848975188781,927,184,LysR-family transcriptional regulator,not required
STMMW_07511,fur,795206,795658,-1,6,0.0132450331125828,453,6,ferric uptake regulation protein,required
STMMW_07521,fldA,795940,796470,-1,31,0.0263653483992467,531,14,flavodoxin 1,required
STMMW_07531,ybfE,796633,796914,-1,189,0.195035460992908,282,55,conserved hypothetical protein,not required
STMMW_07541,ybfF,797048,797818,-1,81,0.0557717250324254,771,43,putative esterase/lipase YbfF,ambiguous
STMMW_07551,seqA,798003,798545,1,84,0.0386740331491713,543,21,seqA protein,required
STMMW_07561,pgm,798615,800210,1,3,0.0018796992481203,1596,3,phosphoglucomutase,required
STMMW_07571,STMMW_07571,800325,800810,-1,232,0.154320987654321,486,75,possible 5-nitroimidazole antibiotic resistance,not required
STMMW_07581,potE,800875,802194,-1,1046,0.253030303030303,1320,334,putrescine-ornithine antiporter,not required
STMMW_07591,speF,802191,804389,-1,1861,0.221464301955434,2199,487,"ornithine decarboxylase, inducible (ec 4.1.1.17)",not required
STMMW_07601,kdpE,805151,805828,-1,160,0.117994100294985,678,80,KDP operon transcriptional regulatory protein,not required
STMMW_07611,kdpD,805825,808509,-1,438,0.0782122905027933,2685,210,sensor protein KdpD,not required
STMMW_07621,kdpC,808506,809090,-1,385,0.223931623931624,585,131,potassium-transporting ATPase C chain,not required
STMMW_07631,kdpB,809099,811147,-1,2822,0.33626159102001,2049,689,potassium-transporting ATPase B chain,not required
STMMW_07641,kdpA,811168,812847,-1,701,0.176785714285714,1680,297,potassium-transporting ATPase A chain,not required
STMMW_07642,kdpF,812847,812936,-1,28,0.166666666666667,90,15,conserved sORF,not required
STMMW_07651,ybfA,813273,813479,1,132,0.231884057971014,207,48,putative exported protein,not required
STMMW_07661,phrB,813590,815011,1,814,0.19549929676512,1422,278,deoxyribodipyrimidine photolyase,not required
STMMW_07671,ybgH,815050,816531,-1,1179,0.226720647773279,1482,336,PTR2-family transport protein,not required
STMMW_07681,ybgI,816860,817603,1,423,0.184139784946237,744,137,conserved hypothetical protein,not required
STMMW_07691,ybgJ,817619,818275,1,325,0.171993911719939,657,113,conserved hypothetical protein,not required
STMMW_07701,ybgK,818269,819201,1,598,0.195069667738478,933,182,conserved hypothetical protein,not required
STMMW_07711,ybgL,819191,819925,1,308,0.103401360544218,735,76,conserved hypothetical protein,not required
STMMW_07721,STMMW_07721,820249,820380,1,123,0.401515151515151,132,53,putative protein,not required
STMMW_07731,fimB,820440,821006,1,319,0.206349206349206,567,117,putative type 1 fimbriae regulatory protein,not required
STMMW_07741,STMMW_07741,821466,821801,1,255,0.19047619047619,336,64,putative protein,not required
STMMW_07751,STMMW_07751,821803,822543,1,362,0.118758434547908,741,88,putative transport protein,not required
STMMW_07761,STMMW_07761,822829,823980,1,28,0.0121527777777778,1152,14,putative UDP-galactopyranose mutase,required
STMMW_07771,STMMW_07771,823977,824873,1,9,0.00891861761426979,897,8,putative glycosyl transferase,required
STMMW_07781,STMMW_07781,824886,826019,1,23,0.00881834215167548,1134,10,galactosyltransferase,required
STMMW_07791,STMMW_07791,826148,826918,1,128,0.066147859922179,771,51,"O-antigen export system, permease protein",ambiguous
STMMW_07801,STMMW_07801,826922,827632,1,23,0.0182841068917018,711,13,ABC transporter domain protein,required
STMMW_07811,STMMW_07811,827726,829504,1,10,0.00449690837549185,1779,8,"putative glycosyltransferase, cell wall biogenesis",required
STMMW_07821,STMMW_07821,829697,830530,1,3,0.00239808153477218,834,2,"putative glycosyltransferase, cell wall biogenesis",required
STMMW_07831,STMMW_07831,830588,832482,1,283,0.041688654353562,1895,79,putative glycosyl transferase (pseudogene),required
STMMW_07841,STMMW_07841,832550,832687,1,154,0.507246376811594,138,70,conserved hypothetical cytoplasmic protein,not required
STMMW_07851,nei,832736,833527,1,337,0.157828282828283,792,125,"endonuclease VIII, DNA N-glycosylase with an AP lyase activity",not required
STMMW_07861,abrB,833582,834544,-1,526,0.177570093457944,963,171,putative membrane protein,not required
STMMW_07871,gltA,834765,836048,-1,33,0.00856697819314642,1284,11,citrate synthase,required
STMMW_07881,STMMW_07881,836023,836394,1,87,0.129032258064516,372,48,putative exported protein,not required
STMMW_07891,sdhC,836803,837192,1,31,0.0692307692307692,390,27,succinate dehydrogenase cytochrome b-556 subunit,ambiguous
STMMW_07901,sdhD,837186,837533,1,94,0.103448275862069,348,36,succinate dehydrogenase hydrophobic membrane anchor protein,not required
STMMW_07911,sdhA,837533,839299,1,338,0.0848896434634974,1767,150,succinate dehydrogenase flavoprotein subunit,not required
STMMW_07921,sdhB,839313,840032,1,50,0.0319444444444444,720,23,succinate dehydrogenase iron-sulfur protein,required
STMMW_07931,sucA,840556,843357,1,20,0.00214132762312634,2802,6,2-oxoglutarate dehydrogenase E1 component,required
STMMW_07941,sucB,843372,844580,1,1,0.000827129859387924,1209,1,dihydrolipoamide succinyltransferase component (E2),required
STMMW_07951,sucC,844722,845888,1,352,0.0994001713796058,1167,116,succinyl-CoA synthetase beta chain,not required
STMMW_07961,sucD,845888,846757,1,324,0.126436781609195,870,110,succinyl-CoA synthetase alpha chain,not required
STMMW_07971,cydA,848340,849908,1,14,0.00509878903760357,1569,8,cytochrome D ubiquinol oxidase subunit I,required
STMMW_07981,cydB,849924,851063,1,10,0.00701754385964912,1140,8,cytochrome D ubiquinol oxidase subunit II,required
STMMW_07991,ybgT,851078,851191,1,9,0.0526315789473684,114,6,putative membrane protein,ambiguous
STMMW_08001,ybgE,851328,851609,1,156,0.202127659574468,282,57,putative membrane protein,not required
STMMW_08011,ybgC,851838,852242,1,185,0.180246913580247,405,73,conserved hypothetical protein,not required
STMMW_08021,tolQ,852239,852931,1,17,0.0101010101010101,693,7,TolQ protein,required
STMMW_08031,tolR,852935,853363,1,29,0.020979020979021,429,9,tolR protein,required
STMMW_08041,tolA,853428,854651,1,31,0.0138888888888889,1224,17,TolA protein,required
STMMW_08051,tolB,854775,856067,1,23,0.0116009280742459,1293,15,tolB protein precursor,required
STMMW_08061,pal,856102,856626,1,10,0.00571428571428571,525,3,peptidoglycan-associated lipoprotein precursor,required
STMMW_08071,ybgF,856636,857424,1,425,0.173637515842839,789,137,putative exported protein,not required
STMMW_08081,nadA,858889,859932,1,5,0.00383141762452107,1044,4,quinolinate synthetase A protein,required
STMMW_08091,pnuC,859957,860676,1,329,0.158333333333333,720,114,pnuC protein,not required
STMMW_08101,ybgR,860673,861611,-1,687,0.22790202342918,939,214,probable cation transport protein,not required
STMMW_08111,ybgS,861721,862107,-1,412,0.356589147286822,387,138,putative exported protein,not required
STMMW_08121,aroG,862427,863479,1,442,0.125356125356125,1053,132,phospho-2-dehydro-3-deoxyheptonate aldolase (DAHP synthetase) phenylalanine repressible,not required
STMMW_08131,STMMW_08131,863573,864118,-1,296,0.163003663003663,546,89,putative hydro-lyase,not required
STMMW_08141,STMMW_08141,864133,864978,-1,190,0.0756501182033097,846,64,putative hydro-lyase,not required
STMMW_08151,STMMW_08151,865147,865998,1,31,0.0187793427230047,852,16,LysR-family transcriptional regulator,required
STMMW_08161,STMMW_08161,865999,866982,-1,112,0.0518292682926829,984,51,LysR-family transcriptional regulator,ambiguous
STMMW_08171,STMMW_08171,867205,868473,1,19,0.00945626477541371,1269,12,putative cation transporter,required
STMMW_08181,dcoC,868523,868768,1,234,0.353658536585366,246,87,oxaloacetate decarboxylase gamma chain (ec 4.1.1.3),not required
STMMW_08191,dcoA,868784,870559,1,1878,0.320945945945946,1776,570,oxaloacetate decarboxylase alpha chain (ec 4.1.1.3),not required
STMMW_08201,dcoB,870572,871873,1,1876,0.393241167434716,1302,512,oxaloacetate decarboxylase beta chain (ec 4.1.1.3),not required
STMMW_08211,STMMW_08211,871992,872690,1,355,0.171673819742489,699,120,conserved hypothetical protein,not required
STMMW_08221,STMMW_08221,873070,874149,1,691,0.233333333333333,1080,252,ABC transporter permease (FecCD_family),not required
STMMW_08231,STMMW_08231,874149,874925,1,489,0.186615186615187,777,145,ABC transporter ATP-binding protein,not required
STMMW_08241,gpmA,875016,875768,-1,9,0.0106241699867198,753,8,phosphoglycerate mutase 1,required
STMMW_08251,galM,875992,877032,-1,570,0.200768491834774,1041,209,aldose 1-epimerase (mutarotase),not required
STMMW_08261,galK,877026,878174,-1,659,0.196692776327241,1149,226,galactokinase,not required
STMMW_08271,galT,878177,879223,-1,378,0.118433619866285,1047,124,galactose-1-phosphate uridylyltransferase,not required
STMMW_08281,galE,879234,880250,-1,64,0.0265486725663717,1017,27,UDP-glucose 4-epimerase,required
STMMW_08291,STMMW_08291,880473,881381,-1,646,0.172717271727173,909,157,putative membrane protein,not required
STMMW_08301,modF,881552,883027,-1,1040,0.238482384823848,1476,352,putative molybdenum transport ATP-binding protein ModF (photorepair protein PhrA),not required
STMMW_08311,modE,883095,883883,-1,614,0.178707224334601,789,141,putative molybdenum transport protein ModE,not required
STMMW_08321,ybhT,883910,884161,1,123,0.146825396825397,252,37,putative membrane protein,not required
STMMW_08331,modA,884328,885101,1,423,0.170542635658915,774,132,molybdate-binding periplasmic protein precursor,not required
STMMW_08341,modB,885101,885790,1,435,0.204347826086957,690,141,molybdenum transport system permease protein ModB,not required
STMMW_08351,modC,885793,886851,1,700,0.209631728045326,1059,222,molybdenum transport ATP-binding protein ModC,not required
STMMW_08361,ybhA,886852,887670,-1,461,0.2002442002442,819,164,conserved hypothetical protein,not required
STMMW_08371,ybhE,887834,888829,1,76,0.034136546184739,996,34,conserved hypothetical protein,required
STMMW_08381,ybhC,888973,890256,-1,674,0.198598130841121,1284,255,possible pectinesterase precursor,not required
STMMW_08391,hutI,890494,891717,1,924,0.226307189542484,1224,277,imidazolonepropionase,not required
STMMW_08401,hutG,891714,892655,1,601,0.191082802547771,942,180,formiminoglutamase,not required
STMMW_08411,hutC,892748,893425,1,559,0.243362831858407,678,165,histidine utilization repressor,not required
STMMW_08421,hutU,893622,895307,1,1435,0.223606168446026,1686,377,urocanate hydratase,not required
STMMW_08431,hutH,895309,896829,1,1369,0.257725180802104,1521,392,histidine ammonia-lyase,not required
STMMW_08441,ybhB,896914,897390,-1,534,0.345911949685535,477,165,conserved hypothetical protein,not required
STMMW_08451,bioA,897448,898737,-1,64,0.024031007751938,1290,31,adenosylmethionine-8-amino-7-oxononanoate aminotransferase,required
STMMW_08461,bioB,898824,899864,1,8,0.00288184438040346,1041,3,biotin synthetase,required
STMMW_08471,bioF,899861,901018,1,12,0.0077720207253886,1158,9,8-amino-7-oxononanoate synthase,required
STMMW_08481,bioC,901002,901757,1,14,0.0132275132275132,756,10,biotin synthesis protein BioC,required
STMMW_08491,bioDa,901750,902436,1,17,0.0116448326055313,687,8,dethiobiotin synthetase,required
STMMW_08501,uvrB,903087,905108,1,384,0.0830860534124629,2022,168,excision nuclease ABC subunit B,not required
STMMW_08511,STMMW_08511,905417,905590,1,113,0.14367816091954,174,25,putative cytoplasmic protein,not required
STMMW_08521,slrP,905598,907895,1,2347,0.385552654482158,2298,886,leucine rich repeat,not required
STMMW_08531,ybhK,907987,908895,-1,422,0.171617161716172,909,156,conserved hypothetical protein,not required
STMMW_08541,moaA,909292,910281,1,504,0.139393939393939,990,138,molybdenum cofactor biosynthesis protein A,not required
STMMW_08551,moaB,910303,910815,1,290,0.187134502923977,513,96,molybdenum cofactor biosynthesis protein B,not required
STMMW_08561,moaC,910818,911303,1,243,0.15843621399177,486,77,molybdenum cofactor biosynthesis protein C,not required
STMMW_08571,moaD,911290,911541,1,148,0.126984126984127,252,32,"molybdopterin converting factor, subunit 1",not required
STMMW_08581,moaE,911543,911995,1,113,0.105960264900662,453,48,"molybdopterin converting factor, subunit 2",not required
STMMW_08591,ybhL,912043,912747,1,905,0.258156028368794,705,182,putative membrane protein,not required
STMMW_08601,ybhM,912894,913601,1,76,0.0706214689265537,708,50,putative membrane protein,ambiguous
STMMW_08611,STMMW_08611,913625,914233,1,114,0.0935960591133005,609,57,putative inner membrane protein,not required
STMMW_08621,STMMW_08621,914241,914801,1,596,0.397504456327986,561,223,putative inner membrane protein,not required
STMMW_08631,ybhN,914804,915766,-1,507,0.192107995846314,963,185,putative membrane protein,not required
STMMW_08641,ybhO,915766,917007,-1,847,0.211755233494364,1242,263,putative phospholipase,not required
STMMW_08651,ybhP,917004,917762,-1,466,0.205533596837945,759,156,conserved hypothetical protein,not required
STMMW_08661,ybhQ,917895,918305,1,378,0.24330900243309,411,100,putative membrane protein,not required
