,,,Replicate_1,,,Replicate_2,,,Replicate_3,
STM14_1654,ydiM,putative transport protein,25,1164,,25,1177,,26,1043
STM14_1655,ydiL,putative cytoplasmic protein,4,49,,4,71,,4,52
STM14_1657,ydiK,putative inner membrane protein,11,279,,12,241,,12,305
STM14_1658,-,hypothetical protein,2,108,,2,106,,2,103
STM14_1659,ydiJ,putative oxidase,45,1693,,44,1673,,49,1663
STM14_1660,-,hypothetical protein,4,363,,3,290,,4,355
STM14_1661,ydiH,putative cytoplasmic protein,6,373,,6,382,,6,412
STM14_1662,-,putative Na+-dicarboxylate symporter,18,577,,17,619,,19,701
STM14_1663,sufA,iron-sulfur cluster assembly scaffold protein,6,258,,5,280,,5,315
STM14_1664,sufB,cysteine desulfurase activator complex subunit SufB,19,1119,,17,889,,18,995
STM14_1665,sufC,cysteine desulfurase ATPase component,4,141,,4,133,,4,115
STM14_1666,sufD,cysteine desulfurase activator complex subunit SufD,16,1200,,14,1313,,16,1182
STM14_1667,sufS,selenocysteine lyase,14,592,,15,555,,14,625
STM14_1668,ynhA,cysteine desufuration protein SufE,8,473,,8,452,,8,458
STM14_1669,ynhG,hypothetical protein,15,430,,15,372,,16,451
STM14_1670,lppB,putative methyl-accepting chemotaxis protein,7,154,,6,171,,6,100
STM14_1671,lpp,murein lipoprotein,4,355,,4,242,,4,241
STM14_1672,pykF,pyruvate kinase,12,288,,13,279,,13,307
STM14_1673,orf48,putative amino acid permease,27,1400,,28,1340,,29,1431
STM14_1674,orf32,putative proline iminopeptidase,11,417,,8,316,,10,349
STM14_1675,orf245,putative cytoplasmic protein,5,116,,7,175,,5,138
STM14_1676,orf408,putative regulatory protein,13,496,,14,436,,13,490
STM14_1677,ttrA,tetrathionate reductase complex subunit A,27,1519,,26,1457,,27,1459
STM14_1678,ttrC,tetrathionate reductase complex subunit C,15,659,,14,646,,14,646
STM14_1679,ttrB,tetrathionate reductase complex subunit B,6,232,,7,174,,6,254
STM14_1680,ttrS,sensory histidine kinase,19,778,,18,822,,19,734
STM14_1681,ttrR,response regulator,11,693,,10,645,,12,548
STM14_1682,orf70,hypothetical protein,5,279,,5,268,,5,260
STM14_1683,orf319,putative inner membrane protein,14,539,,14,602,,14,619
STM14_1684,orf242,putative regulatory protein,9,330,,8,326,,8,322
STM14_1685,-,hypothetical protein,5,121,,4,111,,5,124
STM14_1686,ssrB,transcriptional activator,15,1130,,15,1072,,14,1056
STM14_1687,ssrA,sensor kinase,40,1525,,41,1551,,44,1473
STM14_1688,ssaB,secreted effector protein,6,54,,4,25,,6,46
STM14_1689,ssaC,outer membrane secretin precursor,16,877,,16,880,,15,746
STM14_1690,ssaD,virulence protein,19,485,,19,466,,17,507
STM14_1691,ssaE,secretion system effector,3,38,,2,29,,3,34
STM14_1692,-,hypothetical protein,0,0,,0,0,,0,0
STM14_1693,-,secretion system chaperone protein,6,140,,5,198,,6,123
STM14_1694,-,translocation machinery component,13,599,,13,634,,13,599
STM14_1695,sscA,secretion system chaparone,9,472,,10,381,,9,365
STM14_1696,sseC,translocation machinery component,34,1288,,33,1265,,35,1159
STM14_1697,sseD,translocation machinery component,10,386,,10,444,,11,420
STM14_1698,sseE,secreted effector protein,7,256,,8,325,,10,265
STM14_1699,sscB,secretion system chaparone,5,180,,6,174,,6,182
STM14_1700,sseF,secreted effector protein,12,1045,,15,1202,,13,1087
STM14_1701,sseG,secreted effector protein,16,638,,16,658,,17,597
STM14_1702,ssaG,type III secretion system apparatus protein,1,24,,1,9,,1,4
STM14_1703,ssaH,type III secretion system apparatus protein,1,9,,1,28,,3,16
STM14_1704,ssaI,type III secretion system apparatus protein,1,8,,1,8,,1,23
STM14_1705,ssaJ,needle complex inner membrane lipoprotein,10,368,,9,371,,9,387
STM14_1706,-,putative cytoplasmic protein,5,210,,5,239,,5,267
STM14_1707,ssaK,type III secretion system apparatus protein,8,262,,7,280,,8,241
STM14_1708,ssaL,type III secretion system apparatus protein,15,712,,15,648,,13,660
STM14_1709,ssaM,type III secretion system apparatus protein,8,257,,9,290,,9,290
STM14_1710,ssaV,secretion system apparatus protein SsaV,46,1706,,43,1741,,49,1657
STM14_1711,ssaN,type III secretion system ATPase,20,950,,18,868,,20,869
STM14_1712,ssaO,type III secretion system apparatus protein,6,70,,5,73,,6,81
STM14_1713,ssaP,type III secretion system apparatus protein,10,465,,8,571,,9,513
STM14_1714,ssaQ,type III secretion system protein,19,332,,19,362,,20,366
STM14_1715,ssaR,type III secretion system protein,2,52,,2,88,,2,84
STM14_1716,ssaS,type III secretion system apparatus protein,2,39,,1,41,,1,23
STM14_1717,ssaT,type III secretion system apparatus protein,5,209,,5,171,,5,180
STM14_1718,ssaU,secretion system apparatus protein SsaU,10,437,,12,483,,13,467
STM14_1719,-,hypothetical protein,3,127,,3,101,,3,93
STM14_1722,ydhE,multidrug efflux protein,25,1012,,27,978,,27,949
STM14_1723,ribE,riboflavin synthase subunit alpha,2,10,,1,8,,1,14
STM14_1724,cfa,cyclopropane fatty acyl phospholipid synthase,24,1224,,26,1266,,28,1220
STM14_1725,ydhC,inner membrane transport protein YdhC,13,799,,14,923,,13,790
STM14_1726,ydhB,putative DNA-binding transcriptional regulator,3,122,,5,155,,4,121
STM14_1727,purR,DNA-binding transcriptional repressor PurR,11,477,,12,562,,11,498
STM14_1728,-,hypothetical protein,5,218,,5,268,,5,270
STM14_1729,sodB,superoxide dismutase,8,649,,8,626,,8,656
STM14_1730,ydhO,putative cell wall-associated hydrolase,11,475,,11,442,,11,457
STM14_1731,ydhD,hypothetical protein,3,84,,4,102,,4,110
STM14_1732,rnt,ribonuclease T,7,160,,7,154,,6,197
STM14_1733,gloA,glyoxalase I,6,143,,5,185,,6,145
STM14_1734,nemA,N-ethylmaleimide reductase,13,914,,12,885,,15,903
STM14_1735,ydhM,putative transcriptional repressor,9,518,,7,529,,9,412
STM14_1736,ydhL,putative oxidoreductase,4,151,,4,108,,4,122
STM14_1737,ydhF,putative aldo/keto reductase,13,716,,14,702,,14,693
STM14_1738,sodC_2,superoxide dismutase,4,194,,5,167,,4,143
STM14_1739,-,putative inner membrane protein,29,1471,,29,1321,,29,1367
STM14_1740,ydhJ,putative multidrug resistance efflux pump,19,1159,,20,1235,,20,1105
STM14_1741,ydhI,putative inner membrane protein,3,59,,3,48,,3,54
STM14_1742,slyA,transcriptional regulator SlyA,3,35,,2,26,,3,38
STM14_1743,slyB,putative outer membrane lipoprotein,7,396,,7,317,,8,390
STM14_1744,anmK,anhydro-N-acetylmuramic acid kinase,11,607,,11,635,,11,600
STM14_1745,mliC,lysozyme inhibitor,9,666,,8,644,,9,617
STM14_1746,pdxH,pyridoxamine 5'-phosphate oxidase,5,22,,5,33,,6,31
STM14_1747,tyrS,tyrosyl-tRNA synthetase,0,0,,0,0,,0,0
STM14_1748,pdxY,pyridoxamine kinase,10,397,,8,421,,12,378
STM14_1749,gst,glutathionine S-transferase,12,507,,11,539,,13,464
STM14_1750,tppB,putative tripeptide transporter permease,28,1976,,31,1970,,29,2122
STM14_1751,-,hypothetical protein,0,0,,0,0,,0,0
STM14_1752,nth,endonuclease III,9,542,,8,487,,8,441
STM14_1753,ydgQ,SoxR-reducing system protein RsxE,13,349,,11,391,,12,315
STM14_1754,ydgP,electron transport complex protein RnfG,6,150,,7,126,,7,117
STM14_1755,rnfD,electron transport complex protein RnfD,9,364,,9,282,,10,329
STM14_1756,-,electron transport complex protein RnfC,21,765,,19,875,,18,787
STM14_1757,ydgM,electron transport complex protein RnfB,6,435,,6,444,,6,406
STM14_1758,-,Na(+)-translocating NADH-quinone reductase subunit E,9,410,,8,390,,9,389
STM14_1759,ydgK,putative inner membrane protein,9,422,,9,477,,11,500
STM14_1760,ydgT,oriC-binding nucleoid-associated protein,5,198,,6,260,,5,220
STM14_1761,-,hypothetical protein,8,267,,9,301,,7,227
STM14_1762,ydgJ,putative oxidoreductase,13,547,,13,487,,15,527
STM14_1763,add,adenosine deaminase,12,442,,12,421,,12,475
STM14_1764,-,hypothetical protein,8,215,,8,143,,8,123
STM14_1767,-,hypothetical protein,0,0,,0,0,,0,0
STM14_1768,ydgA,putative periplasmic protein,14,468,,15,488,,15,400
STM14_1769,manA,mannose-6-phosphate isomerase,14,563,,11,558,,15,552
STM14_1770,fumA,fumarase A,29,1364,,28,1355,,30,1289
STM14_1771,-,fumarase A,2,21,,2,17,,2,12
STM14_1772,fumC,fumarate hydratase,16,545,,16,553,,18,610
STM14_1773,tus,DNA replication terminus site-binding protein,13,339,,13,357,,13,325
STM14_1774,rstB,sensor protein RstB,11,498,,12,537,,11,479
STM14_1775,-,putative periplasmic protein,19,687,,16,786,,19,678
STM14_1776,-,outer membrane protein,4,138,,3,129,,3,129
STM14_1777,ompN,outer membrane protein N precursor,27,980,,27,967,,27,931
STM14_1779,rstA,DNA-binding transcriptional regulator RstA,15,806,,14,805,,15,824
STM14_1780,ydgC,putative inner membrane protein,7,207,,5,197,,7,245
STM14_1781,ydgI,putative amino acid transporter,22,918,,23,1047,,22,914
STM14_1782,-,putative amino acid permease,0,0,,0,0,,0,0
STM14_1783,-,hypothetical protein,3,44,,2,42,,3,28
STM14_1784,-,hypothetical protein,0,0,,0,0,,0,0
STM14_1785,ydgH,putative periplasmic protein,21,1260,,22,1253,,23,1266
STM14_1786,-,hypothetical protein,1,126,,1,92,,1,100
STM14_1787,pntA,NAD(P) transhydrogenase subunit alpha,20,603,,17,590,,17,535
STM14_1788,pntB,pyridine nucleotide transhydrogenase,14,450,,11,521,,14,496
STM14_1789,tqsA,putative transport protein,23,909,,23,951,,25,828
STM14_1790,-,hypothetical protein,4,86,,4,111,,4,90
STM14_1791,ydgF,multidrug efflux system protein MdtJ,5,95,,5,136,,4,126
STM14_1792,ydgE,multidrug efflux system protein MdtI,2,84,,2,94,,2,57
STM14_1793,-,putative protease,8,363,,7,395,,8,340
STM14_1794,-,hypothetical protein,6,250,,7,227,,6,194
STM14_1795,-,acid shock protein precursor,5,98,,4,93,,5,86
STM14_1796,-,hypothetical protein,6,199,,5,173,,5,146
STM14_1797,ynfM,putative transport protein,23,867,,20,828,,23,841
STM14_1798,ynfL,putative transcriptional regulator,11,297,,10,265,,11,266
STM14_1799,mlc,pts operon transcriptional repressor,17,763,,17,765,,20,672
STM14_1800,bioD_2,putative dithiobiotin synthetase,8,703,,7,664,,9,672
STM14_1801,-,putative voltage-gated ClC-type chloride channel ClcB,26,1126,,25,1049,,25,1162
STM14_1802,-,proline/glycine betaine transport system,15,432,,12,391,,15,392
STM14_1803,-,putative ABC transporter permease component,9,999,,8,922,,9,921
STM14_1804,-,putative ABC transporter periplasmic component,10,357,,11,259,,12,326
STM14_1805,-,putative transport system permease component,14,548,,13,628,,12,555
STM14_1806,ynfI,twin-argninine leader-binding protein DmsD,8,650,,8,522,,8,564
STM14_1807,-,putative dimethylsulfoxide reductase,11,523,,11,529,,12,492
STM14_1808,-,putative dimethyl sulphoxide reductase,4,154,,5,109,,5,150
STM14_1809,-,putative dimethyl sulphoxide reductase,50,2673,,51,2667,,51,2500
STM14_1810,-,putative dimethyl sulphoxide reductase subunit A,1,32,,1,23,,1,33
STM14_1811,-,putative dimethyl sulphoxide reductase chain A1,37,1449,,37,1538,,38,1433
STM14_1812,ynfD,putative outer membrane protein,7,368,,5,347,,5,334
STM14_1813,ynfC,hypothetical protein,14,514,,15,401,,16,520
STM14_1814,speG,spermidine N1-acetyltransferase,12,782,,11,741,,12,778
STM14_1815,ynfB,hypothetical protein,5,185,,5,143,,6,170
STM14_1816,-,hypothetical protein,6,292,,6,320,,6,186
STM14_1817,ynfA,hypothetical protein,6,821,,8,597,,6,591
STM14_1818,rspA,putative dehydratase,19,568,,17,638,,17,555
STM14_1819,rspB,putative dehydrogenase,13,548,,12,504,,12,434
STM14_1821,-,putative membrane transport protein,1,139,,1,93,,1,100
STM14_1822,ydfI,putative mannitol dehydrogenase,24,787,,23,800,,25,864
STM14_1823,ydfZ,putative cytoplasmic protein,2,140,,2,168,,2,153
STM14_1824,ydfH,putative regulatory protein,10,410,,11,392,,10,354
STM14_1825,ydfG,3-hydroxy acid dehydrogenase,10,356,,11,379,,11,399
STM14_1826,dcp,dipeptidyl carboxypeptidase II,33,1823,,30,1562,,31,1680
STM14_1827,-,hypothetical protein,1,29,,1,29,,1,27
STM14_1828,-,peptidyl-dipeptidase dcp,1,24,,1,10,,1,13
STM14_1829,-,putative cytoplasmic protein,1,58,,1,66,,1,82
STM14_1830,ydeJ,competence damage-inducible protein A,5,139,,5,185,,5,143
STM14_1831,-,hypothetical protein,2,35,,2,19,,2,24
STM14_1832,ydeI,hypothetical protein,5,139,,5,127,,5,111
STM14_1833,-,conserved hypothetical protein,1,3,,1,3,,1,6
STM14_1834,ydeE,putative MFS-type transporter YdeE,16,606,,13,729,,16,648
STM14_1835,ydeD,O-acetylserine/cysteine export protein,22,1177,,21,1113,,23,1095
STM14_1836,marB,hypothetical protein,3,117,,2,97,,3,128
STM14_1837,marA,DNA-binding transcriptional activator MarA,13,794,,13,781,,13,794
STM14_1838,marR,DNA-binding transcriptional repressor MarR,7,532,,7,492,,8,548
STM14_1839,marC,multiple drug resistance protein MarC,9,263,,7,316,,9,241
STM14_1840,ydeA,sugar efflux transporter,23,1245,,21,1220,,20,1121
STM14_1841,yneJ,putative transcriptional regulator,14,1394,,13,1187,,14,1101
STM14_1842,yneI,putative succinate-semialdehyde dehydrogenase,11,719,,10,595,,12,587
STM14_1843,yneH,glutaminase,11,479,,9,524,,11,482
STM14_1844,yneG,putative cytoplasmic protein,6,350,,6,296,,6,324
STM14_1845,-,putative inner membrane protein,16,579,,16,623,,18,610
STM14_1846,-,putative outer membrane protein,3,59,,4,131,,3,96
STM14_1847,-,putative inner membrane protein,6,126,,5,119,,6,77
STM14_1848,-,putative outer membrane protein,24,739,,22,956,,26,798
STM14_1849,-,putative hydrogenase,5,231,,7,202,,5,265
STM14_1850,-,putative dehydrogenase protein,14,408,,15,507,,15,439
STM14_1851,-,putative hydrogenase,24,1206,,23,1026,,25,1075
STM14_1852,-,putative hydrogenase,4,177,,5,201,,5,205
STM14_1853,-,putative hydrogenase protein,1,55,,2,52,,2,92
STM14_1854,-,putative hydrogenase maturation protease,5,94,,5,114,,5,104
STM14_1855,-,putative Ni/Fe hydrogenase 1 b-type cytochrome subunit,13,756,,13,810,,14,706
STM14_1856,-,putative hydrogenase-1 large subunit,24,956,,22,1022,,24,1001
STM14_1857,-,putative hydrogenase-1 small subunit,16,606,,14,643,,16,654
STM14_1858,-,hypothetical protein,2,34,,2,33,,2,33
STM14_1859,-,putative hydrolase,19,664,,20,705,,20,628
STM14_1860,-,putative regulatory protein,19,514,,18,485,,20,556
STM14_1861,-,putative zinc-binding dehydrogenase,21,857,,22,873,,25,1006
STM14_1862,-,putative transport protein,19,677,,17,534,,20,646
STM14_1863,pqaA,PhoPQ-regulated protein,16,363,,16,358,,18,372
STM14_1864,-,putative multidrug efflux protein,25,1144,,27,1142,,28,1209
STM14_1865,-,hypothetical protein,27,1997,,25,2052,,25,1830
STM14_1866,-,putative transcriptional regulator,4,76,,3,74,,3,58
STM14_1867,-,hypothetical protein,6,126,,7,125,,5,96
STM14_1868,-,putative S-adenosylmethionine/tRNA-ribosyltransferase-isomerase,12,382,,13,486,,13,394
STM14_1869,-,putative translation initiation inhibitor,9,476,,9,607,,9,489
STM14_1870,-,putative cytoplasmic protein,7,205,,7,188,,7,207
STM14_1871,-,putative cytoplasmic protein,3,260,,3,245,,3,236
STM14_1872,-,putative phage-related secreted protein,1,15,,2,21,,2,22
STM14_1873,-,hypothetical protein,7,356,,6,269,,7,279
STM14_1874,-,putative cytoplasmic protein,18,575,,17,642,,18,589
STM14_1876,-,hypothetical protein,2,69,,2,43,,2,37
STM14_1877,-,putative coiled-coil protein,7,150,,8,145,,8,142
STM14_1878,-,putative transcriptional regulator,17,628,,17,574,,17,498
STM14_1879,-,putative Na+/H+ antiporter,28,1139,,26,1225,,26,1217
STM14_1880,-,putative aminotransferase,12,867,,15,834,,14,784
STM14_1881,-,putative glycosyl hydrolase,44,1491,,39,1366,,43,1632
STM14_1882,-,putative glycosyl hydrolase,38,1579,,37,1616,,41,1712
STM14_1883,-,putative alpha amylase,23,991,,25,1156,,25,922
STM14_1884,-,putative lipoprotein,18,553,,19,501,,19,587
STM14_1885,hdeB,acid-resistance protein,6,275,,6,351,,6,329
STM14_1886,osmC,putative envelope protein,7,206,,6,174,,6,151
STM14_1887,yddX,biofilm-dependent modulation protein,3,60,,2,60,,2,74
STM14_1888,rpsV,30S ribosomal subunit S22,4,107,,3,111,,4,140
STM14_1889,sfcA,malate dehydrogenase,27,1354,,25,1424,,27,1515
STM14_1890,-,hypothetical protein,1,13,,2,17,,3,41
STM14_1891,adhP,alcohol dehydrogenase,17,871,,16,852,,17,743
STM14_1892,fdnI,formate dehydrogenase-N subunit gamma,17,1251,,15,1295,,17,1252
STM14_1893,fdnH,formate dehydrogenase-N beta subunit,12,572,,13,509,,12,571
STM14_1894,fdnG,formate dehydorgenase-N alpha subunit,52,1671,,47,1699,,51,1629
STM14_1895,-,hypothetical protein,3,159,,3,121,,3,134
STM14_1896,yddG,hypothetical protein,13,522,,12,598,,14,557
STM14_1897,-,hypothetical protein,3,182,,2,197,,2,259
STM14_1898,nmpC,putative outer membrane porin precursor,22,839,,23,813,,24,889
STM14_1899,-,putative cytoplasmic protein,7,279,,8,271,,7,314
STM14_1900,smvA,methyl viologen resistance,19,806,,20,729,,22,728
STM14_1901,-,putative transcriptional regulator,9,498,,10,539,,11,509
STM14_1902,-,hypothetical protein,3,96,,3,91,,3,88
STM14_1903,narU,nitrate extrusion protein,18,897,,17,778,,20,888
STM14_1904,-,hypothetical protein,1,8,,1,7,,1,10
STM14_1905,narZ,nitrate reductase 2 alpha subunit,54,3256,,52,3135,,53,3246
STM14_1906,narY,nitrate reductase 2 beta subunit,30,1521,,29,1310,,29,1363
STM14_1907,narW,nitrate reductase 2 delta subunit,4,135,,4,196,,5,171
STM14_1908,narV,nitrate reductase 2 gamma subunit,13,791,,13,703,,14,782
STM14_1909,yddE,hypothetical protein,7,536,,6,517,,9,505
STM14_1910,nhoA,putative arylamine N-acetyltransferase,9,230,,8,364,,9,329
STM14_1911,-,hypothetical protein,3,60,,3,76,,4,77
STM14_1912,-,putative cytoplasmic protein,28,1567,,29,1411,,28,1535
STM14_1913,-,hypothetical protein,5,316,,5,286,,5,277
STM14_1914,-,hypothetical protein,0,0,,0,0,,0,0
STM14_1915,-,hypothetical protein,2,32,,2,21,,2,34
STM14_1916,ansP,L-asparagine transport protein,24,1048,,21,1073,,23,1024
STM14_1917,-,putative outer membrane lipoprotein,6,280,,6,308,,6,291
STM14_1918,-,putative periplasmic protein,11,924,,11,828,,14,941
STM14_1919,-,hypothetical protein,5,126,,5,203,,5,172
STM14_1920,yncD,putative outer membrane receptor,39,1610,,37,1761,,42,1871
STM14_1921,yncC,putative DNA-binding transcriptional regulator,9,616,,10,676,,9,639
STM14_1922,-,hypothetical protein,0,0,,0,0,,0,0
STM14_1923,-,hypothetical protein,3,117,,5,207,,5,130
STM14_1924,yncB,putative NADP-dependent oxidoreductase,20,1265,,19,1418,,19,1235
STM14_1925,yncA,putative acyltransferase,6,370,,6,394,,6,436
STM14_1926,ydcZ,putative inner membrane protein,9,496,,8,448,,9,471
STM14_1927,ydcY,putative cytoplasmic protein,2,131,,2,100,,3,137
STM14_1928,srfA,putative virulence protein,13,657,,13,628,,13,536
STM14_1929,srfB,putative virulence protein,45,2737,,48,2719,,47,2559
STM14_1930,srfC,putative virulence protein,22,1753,,20,1734,,24,1438
STM14_1931,ydcX,putative inner membrane protein,3,315,,4,333,,4,365
STM14_1932,-,hypothetical protein,1,5,,1,6,,0,0
STM14_1933,-,hypothetical protein,2,113,,2,128,,2,142
STM14_1934,ydcW,gamma-aminobutyraldehyde dehydrogenase,29,2146,,26,2021,,29,2077
STM14_1935,ydcR,putative regulatory protein,18,776,,19,903,,21,821
STM14_1936,pdgL,periplasmic dipeptidase precursor,24,1487,,25,1594,,26,1504
STM14_1937,-,putative inner membrane protein,6,228,,6,224,,6,226
STM14_1938,ugtL,hypothetical protein,5,186,,5,177,,5,230
STM14_1939,-,hypothetical protein,1,22,,1,44,,1,8
STM14_1940,sifB,secreted effector protein,4,38,,4,36,,4,79
STM14_1941,yncJ,putative periplasmic protein,2,105,,3,81,,3,133
STM14_1942,ydcP,putative collagenase,27,1741,,25,1706,,28,1730
STM14_1943,ydcN,putative repressor,10,1048,,10,1029,,10,867
STM14_1944,-,putative benzoate membrane transport protein,15,1050,,15,1046,,16,957
STM14_1945,-,putative outer membrane lipoprotein,14,1136,,12,1165,,14,1169
STM14_1946,tehB,tellurite resistance protein TehB,12,311,,12,303,,13,265
STM14_1947,tehA,potassium-tellurite ethidium and proflavin transporter,15,920,,16,925,,16,858
STM14_1948,ydcK,putative nucleoside-diphosphate-sugar pyrophosphorylase,17,866,,17,910,,17,903
STM14_1949,rimL,ribosomal-protein-L7/L12-serine acetyltransferase,17,1033,,17,1092,,17,874
STM14_1950,-,hypothetical protein,6,55,,4,35,,6,37
STM14_1951,-,putative cellulase protein,10,473,,9,433,,11,429
STM14_1952,-,putative PTS system enzymeIIB component,2,97,,2,70,,2,72
STM14_1953,-,putative PTS system enzyme IIC component,21,1041,,18,1008,,23,1197
STM14_1954,-,putative nucleoside triphosphatase,11,399,,10,349,,11,409
STM14_1955,-,putative sugar-specific PTS enzyme II,13,517,,11,588,,13,520
STM14_1956,-,ribulose-phosphate 3-epimerase,9,442,,8,384,,7,406
STM14_1957,-,putative transcriptional repressor of sgc operon,13,531,,13,586,,14,493
STM14_1958,-,cryptic aminoglycoside resistance protein,4,242,,4,270,,4,321
STM14_1959,-,putative oxidase,17,581,,14,513,,16,713
STM14_1960,-,putative periplasmic protein,9,147,,8,255,,9,215
STM14_1961,-,hypothetical protein,0,0,,0,0,,0,0
STM14_1962,mdoD,glucan biosynthesis protein D,32,2503,,28,2347,,33,2295
STM14_1963,-,putative carboxylesterase,25,1141,,22,1109,,21,1087
STM14_1964,-,putative cytoplasmic protein,14,442,,13,388,,14,376
STM14_1965,ydcI,putative transcriptional regulator,16,740,,16,728,,15,696
STM14_1966,trg,methyl-accepting chemotaxis protein III,22,820,,22,874,,24,794
STM14_1967,-,hypothetical protein,3,133,,3,99,,3,138
STM14_1968,-,alcohol dehydrogenase class III,16,861,,17,863,,17,936
STM14_1969,-,putative cytoplasmic protein,2,83,,1,45,,2,63
STM14_1970,-,putative dipicolinate reductase,2,66,,4,58,,4,78
STM14_1971,-,putative inner membrane protein,5,112,,5,174,,6,124
STM14_1972,-,hypothetical protein,0,0,,0,0,,0,0
STM14_1973,-,hypothetical protein,0,0,,0,0,,0,0
STM14_1974,sseJ,secreted effector protein,8,226,,8,260,,7,237
STM14_1975,-,putative inner membrane protein,5,278,,4,370,,6,242
STM14_1976,-,hypothetical protein,0,0,,0,0,,0,0
STM14_1977,-,putative periplasmic binding protein,11,424,,9,413,,11,356
STM14_1978,-,putative ABC transporter permease component,4,163,,3,185,,4,128
STM14_1979,-,putative ABC-type polar amino acid transport system ATPase component,12,532,,11,538,,12,425
STM14_1980,-,putative ABC-type transport system membrane component,9,202,,9,206,,13,226
STM14_1981,-,putative inner membrane protein,28,1467,,25,1352,,30,1417
STM14_1982,-,putative SAM-dependent methyltransferase,17,996,,14,1065,,18,1054
STM14_1983,cybB,cytochrome b561,12,861,,13,656,,13,667
STM14_1984,ydcF,putative inner membrane protein,10,136,,11,159,,10,166
STM14_1985,hrpA,ATP-dependent RNA helicase HrpA,51,2207,,50,2083,,54,2246
STM14_1986,acpD,azoreductase,6,320,,7,237,,6,277
STM14_1987,-,putative inner membrane protein,9,498,,9,463,,8,448
STM14_1988,ydbL,putative periplasmic protein,12,484,,10,489,,12,489
STM14_1989,ynbE,putative outer membrane lipoprotein,5,143,,5,163,,5,195
STM14_1990,ydbH,hypothetical protein,37,1700,,34,1806,,38,1674
STM14_1991,ldhA,D-lactate dehydrogenase,15,650,,15,627,,16,736
STM14_1992,hslJ,heat-inducible protein,4,179,,4,225,,4,212
STM14_1993,-,putative cytoplasmic protein,4,147,,4,144,,4,149
STM14_1994,-,hypothetical protein,6,269,,6,269,,7,278
STM14_1995,nifJ,putative pyruvate-flavodoxin oxidoreductase,56,2884,,55,2847,,57,2796
STM14_1996,-,hypothetical protein,5,100,,4,79,,4,96
STM14_1997,ynaF,putative universal stress protein,8,298,,7,365,,8,373
STM14_1998,-,putative membrane transporter of cations,11,704,,13,742,,13,706
STM14_1999,-,Rac prophage; integrase,2,136,,2,76,,2,120
STM14_2000,ydaO,C32 tRNA thiolase,14,771,,15,691,,14,728
STM14_2001,dbpA,ATP-dependent RNA helicase DbpA,15,850,,12,675,,15,829
STM14_2002,zntB,zinc transporter,20,982,,20,891,,21,924
STM14_2003,-,putative methyl-accepting chemotaxis protein,23,1314,,22,1269,,23,1160
STM14_2004,-,conserved hypothetical protein,4,312,,5,342,,5,321
STM14_2005,ydaL,hypothetical protein,6,649,,6,593,,7,646
STM14_2006,ogt,O-6-alkylguanine-DNA:cysteine-protein methyltransferase,11,359,,10,302,,10,383
STM14_2007,fnr,fumarate/nitrate reduction transcriptional regulator,14,476,,14,530,,15,519
STM14_2008,ydaA,universal stress protein UspE,18,522,,18,633,,18,548
STM14_2009,ynaJ,putative inner membrane protein,8,391,,8,333,,10,380
STM14_2010,ynaI,putative integral membrane protein,14,574,,14,534,,15,571
STM14_2011,-,putative transcriptional regulator,8,319,,8,388,,9,332
STM14_2012,-,putative cytoplasmic protein,9,570,,8,584,,9,530
STM14_2014,-,putative thiol peroxidase,10,347,,11,380,,10,310
STM14_2015,-,hypothetical protein,16,488,,15,536,,17,438
STM14_2016,-,invasin-like protein,36,2038,,35,1977,,41,2016
STM14_2017,-,putative lipoprotein,11,272,,12,260,,12,313
STM14_2020,-,putative outer membrane lipoprotein,8,489,,8,480,,8,492
STM14_2021,-,putative regulatory protein,5,248,,4,184,,4,206
STM14_2022,-,oxidoreductase,5,250,,5,262,,5,226
STM14_2023,-,putative aldo/keto reductase,19,603,,18,551,,22,651
STM14_2024,-,hypothetical protein,2,36,,2,26,,2,32
STM14_2025,-,putative transcriptional regulator,8,402,,9,411,,9,332
STM14_2026,-,putative 2'-hydroxyisoflavone reductase,12,685,,11,551,,13,677
STM14_2027,mppA,periplasmic murein tripeptide transport protein,35,1903,,35,1946,,34,1811
STM14_2028,ycjI,murein peptide amidase A,5,133,,5,118,,6,102
STM14_2029,ycjG,putative chloromuconate cycloisomerase,13,837,,13,992,,14,800
STM14_2030,tpx,thiol peroxidase,9,456,,7,408,,10,387
STM14_2031,-,hypothetical protein,0,0,,0,0,,0,0
STM14_2032,tnpA_5,transposase,0,0,,0,0,,0,0
STM14_2033,tyrR,DNA-binding transcriptional regulator TyrR,15,557,,15,578,,16,577
STM14_2034,ycjF,hypothetical protein,9,304,,10,299,,11,278
STM14_2035,ycjX,putative ATPase,21,1015,,21,961,,21,1039
STM14_2036,pspE,thiosulfate:cyanide sulfurtransferase (rhodanese),12,740,,11,641,,12,645
STM14_2037,pspD,peripheral inner membrane phage-shock protein,1,11,,1,15,,1,15
STM14_2038,pspC,DNA-binding transcriptional activator PspC,8,171,,6,167,,8,191
STM14_2039,pspB,phage shock protein B,1,85,,1,67,,1,111
STM14_2040,pspA,phage shock protein PspA,6,230,,6,216,,7,242
STM14_2041,pspF,phage shock protein operon transcriptional activator,15,944,,15,878,,12,1007
STM14_2042,sapA,peptide transport protein,18,336,,17,388,,18,370
STM14_2043,sapB,peptide transport protein,8,74,,6,69,,9,72
